Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
GALACT LACTATION GRANULES CHOCOLATE 400GM,GALACT GRANULES 400 GM CHOCOLATE,421112876,1,0.9382,GALACT GRANULES 400 GM CHOCOLATE,0.9382,True,308
VYLDA-DM100/1000/11X10TAB,VYLDA DM 100/5/1000 TABLET 1x10T,421112639,2,0.8936,VYLDA DM 100/10/1000 TABLET 1x10T,0.8971,True,311
PROXYM ER 300 TAB 1X15PRT 1X15,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8733,PROXYM ER 200 TABLETS 15 T,0.8733,True,323
SYLATE T 500MG TAB. 1X10 EE179 1*10,SYLATE T 500 TABLET,421110143,1,0.8692,SYLATE T 500 TABLET,0.8692,True,327
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,1,0.8998,EPITRIL 0.25 MG TABLET,0.8998,True,331
NUMLO TM 5 TAB15NOS 15 NOS,NUMLO-TM 5 TABLETS 1X15 T,421112128,1,0.8975,NUMLO-TM 5 TABLETS 1X15 T,0.8975,True,333
COGNITRAC 60MG INJ 60MG 1X60MG,COGNITRAC L INJECTION,421112018,2,0.6818,COGNITRAC INJECTION 60 MG,0.8581,True,342
EPITRIL.25MG TAB 1X10,EPITRIL 0.25 MG TABLET,424441023,1,0.9320,EPITRIL 0.25 MG TABLET,0.9320,True,347
EFNOCAR MX 40/25 T 10T,EFNOCAR-T 40/40  TABLET,427770323,2,0.8197,EFNOCAR-MX 40/25 TABLETS,0.9226,True,351
GALACT GRANULE ELAICHI,GALACT GRANULES 10GM ELAICHI,421112986,1,0.8297,GALACT GRANULES 10GM ELAICHI,0.8297,True,352
POVIZTRA FLXT .25MG 1PC,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,420008825,1,0.8894,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.8894,True,360
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,1,0.7719,AMARYL M FORTE 1MG TABLET 10x15T,0.7719,True,361
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,1,0.7719,AMARYL M FORTE 1MG TABLET 10x15T,0.7719,True,362
TEMSAN H 40/12.5 15 S,TEMSAN H TABLETS 1X15 T,424441191,1,0.8460,TEMSAN H TABLETS 1X15 T,0.8460,True,373
XILIA-M2FORTE 10 S,XILIA - M 2 FORTE TABLETS,421110949,1,0.7134,XILIA - M 2 FORTE TABLETS,0.7134,True,374
TEMSAN 80MG TAB 10X15EMC030 10*15,TEMSAN 80 MG TABLETS 10x15T,424441700,1,0.8566,TEMSAN 80 MG TABLETS 10x15T,0.8566,True,378
S-NUMLO 5 20X15EMC082 20*15,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.8714,S-NUMLO 5 MG TABLET 1x15 T,0.8714,True,382
VYLDA 50 2X15EMC198 2 *15,VYLDA TABLETS 1X15 T,424441803,2,0.7822,VYLDA OD 50 TABLET 1X15T,0.7826,True,393
TEMSAN CT 40/6.25 10*10S,TEMSAN CT-6.25 TABLETS,421111887,2,0.8675,TEMSAN CT 40/12.5 MG TABLET 10X10,0.8838,True,397
OSTERI INJ 600 PEN 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9429,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9429,True,400
OROFER CAP 15S,OROFER S INJECTION 2.5 ML,421111536,7,0.6039,OROFER DROPS 15 ML,0.7708,True,401
LAZID TAB60 60 Pcs,LAZID TABLETS,491110216,3,0.6982,LAZID N TABLET 1x60 T,0.8071,True,403
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.7915,GALACT GRANULES 400GM ELAICHI,0.7915,True,409
GALACT POW 400GM 1X400G,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8024,GALACT GRANULES 400GM ELAICHI,0.8024,True,412
FERIUM 1 K INJ.,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.7897,FERIUM INJECTION 1K (1GM/20ML),0.7897,True,415
TAPIC EM 4.5 GM INJECTION,TAPICEM 4.5 GM INJECTION,421112178,1,0.8340,TAPICEM 4.5 GM INJECTION,0.8340,True,420
CARDACE 1.255X2X15 10 S,CARDACE 1.25 MG TABLET 10x15T,421112890,1,0.9068,CARDACE 1.25 MG TABLET 10x15T,0.9068,True,421
CARDACE AM 55X2X15BOX 10 S,CARDACE AM 5 TABLET 10x15T,421112896,2,0.8281,CARDACE AM 10 TABLET 10x15T,0.8419,True,422
TEMSAN 20 MG TAB 10X15T,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9727,TEMSAN 20 MG TABLETS 10x15T,0.9727,True,423
CONSIUM 100 INJ UNSURE,CONSIUM 100(CARMUSTINE FOR INJ.),490310001,2,0.6995,DILUENT FOR CONSIUM 100 INJ,0.8238,True,427
ASOMEX-TM510X1515 S,ASOMEX - TM 5 TABLETS 1X15T,421111383,2,0.7684,ASOMEX - TM TABLETS 1X15T,0.8285,True,438
OROFER XT5X1515 S,OROFER XT TABLET 1x15T,424442006,1,0.8888,OROFER XT TABLET 1x15T,0.8888,True,441
PROXYM ER30010X1515 S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8489,PROXYM ER 200 TABLETS 15 T,0.8489,True,443
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,1,0.9765,ASOMEX 1.25 TABLETS 1X15T,0.9765,True,461
SYLATE-T 500MG TAB 10 T,SYLATE T 500 TABLET,421110143,1,0.9168,SYLATE T 500 TABLET,0.9168,True,463
OROFER XT BOX,OROFER XT TABLET,424441704,1,0.8969,OROFER XT TABLET,0.8969,True,466
TEMSAN-80 TAB 115(1015)BOX,TEMSAN 80 MG TABLETS 10x15T,424441700,2,0.6515,TEMSAN 80 MG. TABLETS,0.6525,True,467
OROFER XT PLUSSYP 200ML.,OROFER XT + SUSPENSION 200 ML,424441225,1,0.9043,OROFER XT + SUSPENSION 200 ML,0.9043,True,472
CISCURE VIAL. 1X1,CISCURE 0.25 MG INJECTION,421110589,1,0.7004,CISCURE 0.25 MG INJECTION,0.7004,True,479
A-BEC 300MG 30TAB,A-BEC TABLET 60T,424441967,2,0.7122,A BEC 300 MG TABLET 30s,0.8835,True,493
SYLATE- T 500MG TAB 1*10,SYLATE T 500 TABLET,421110143,1,0.9324,SYLATE T 500 TABLET,0.9324,True,499
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,2,0.9629,VYLDA DM 100/10/500 TABLET 1x10T,0.9646,True,502
LAZID TAB 1X60 60,LAZID TABLETS,491110216,3,0.7552,LAZID N TABLET 1x60 T,0.8589,True,505
SYLATE-T 500MG TAB 10 S 1s,SYLATE T 500 TABLET,421110143,1,0.9047,SYLATE T 500 TABLET,0.9047,True,506
ASOMEX AT 2.5MG TAB 15 S 1s,ASOMEX AT 2.5 MG TABLET 1X15T,424441921,1,0.8872,ASOMEX AT 2.5 MG TABLET 1X15T,0.8872,True,509
TEMSAN 20MG TAB 15 S 1s,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.8795,TEMSAN 20 MG TABLETS 10x15T,0.8795,True,515
NUMLO-D 5MG. TAB. 15S,NUMLO-D 5 TABLET,424440017,3,0.8550,NUMLO-D 5 TABLET 1x15 T,0.9224,True,522
SYLATE T 500MG 1X10S T PCS,SYLATE T 500 TABLET,421110143,1,0.9019,SYLATE T 500 TABLET,0.9019,True,533
S NUMLO 2.5 TAB 10X15,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9281,S-NUMLO 2.5 MG TABLET 1x15 T,0.9281,True,536
S.NUMLO 2.5 TAB 1X1 1X15TAB,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9123,S-NUMLO 2.5 MG TABLET 1x15 T,0.9123,True,547
DAPAGZA M 10/1000 \*10 TA,DAPAGZA M10/1000 1X10T,421112563,2,0.8780,DAPAGZA M 5/1000 1X10T,0.9301,True,551
TEMSAN CT 40/6.25 10,TEMSAN CT-6.25 TABLETS,421111887,2,0.8815,TEMSAN CT 40/12.5 MG TABLET 10X10,0.8862,True,555
ASOMEX D 5 TAB 1515 S,ASOMEX D 5 TABLET 1x15T,424440760,1,0.8918,ASOMEX D 5 TABLET 1x15T,0.8918,True,556
OSTERI 600MCJ INJ 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9451,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9451,True,561
TEMSANH 1*15,TEMSAN H TABLETS 1X15 T,424441191,1,0.7675,TEMSAN H TABLETS 1X15 T,0.7675,True,563
OSTERI INJ.600 MCG 2.4 ML PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9549,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9549,True,565
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,576
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,577
HOSIT FCM 750MG.INJ 15ML,HOSIT FCM INJECTION 750MG/15ML,421112708,1,0.9376,HOSIT FCM INJECTION 750MG/15ML,0.9376,True,587
FITJOINT TABS 10S,FITJOINT CAPSULES,421112131,1,0.7036,FITJOINT CAPSULES,0.7036,True,592
ENCICARB INJ 1 K,ENCICARB INJECTION 1K,422220233,1,0.8505,ENCICARB INJECTION 1K,0.8505,True,595
PROXYM ER300MGTAB 1X15T,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8188,PROXYM ER 200 TABLETS 15 T,0.8188,True,596
ACEGABA 100 MG 10X15,ACEGABA 100 CAPSULE 1 X 15 C,424442056,1,0.9000,ACEGABA 100 CAPSULE 1 X 15 C,0.9000,True,597
PROXYM ER 300 MG 1*15,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8982,PROXYM ER 200 TABLETS 15 T,0.8982,True,604
FERIUM 1K INJ 1VAIL,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.8174,FERIUM INJECTION 1K (1GM/20ML),0.8174,True,605
OROFER-S- INJ 10 ML 1*10ML,OROFER S 200 INJECTION 10 ML,421111388,1,0.7727,OROFER S 200 INJECTION 10 ML,0.7727,True,612
ASOMEX LT 2.5MG TAB 1X15TA,ASOMEX LT TABLET 1X15T,424440761,1,0.9178,ASOMEX LT TABLET 1X15T,0.9178,True,613
FLAWLIZO MICRO0.04 PU 15GM,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,421113049,1,0.8410,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,0.8410,True,618
NUMLOM 5 TAB,NUMLO TABLET 2.5 MG,420000458,6,0.6237,NUMLO-TM 5 TABLETS,0.7395,True,622
OSTERI INJ.600MCG /2.4MLPEN 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9824,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9824,True,624
FLAWLIZO MICRO 0.04PUMP PACK 15GM,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,421113085,1,0.9372,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,0.9372,True,629
TEMSAN-20 10X15,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9460,TEMSAN 20 MG TABLETS 10x15T,0.9460,True,636
OROFER FCM 1K INJ 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.9110,OROFER FCM  INJECTION 1K,0.9110,True,637
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8349,TEMSAN BS 2.5/40 TABLET 10x10T,0.8690,True,640
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8349,TEMSAN BS 2.5/40 TABLET 10x10T,0.8690,True,644
CONSIVAS F TAB. 10S STR,CONSIVAS-F TABLETS,421111971,1,0.7991,CONSIVAS-F TABLETS,0.7991,True,649
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8779,OROFER XT + SUSPENSION 200 ML,0.8779,True,650
VYLDA D / TAB S,VYLDA D100/5 TABLET 1X10T,421112572,3,0.7675,VYLDA TABLET,0.8011,True,656
VYLDA OD TAB S,VYLDA OD 50 TABLET 1X15T,421112490,3,0.7389,VYLDA OD 100 TABLETS,0.8193,True,657
EMILDAP 10 TAB 15 S(EMI1T) 15 S,EMILDAP S 10/100 TABLET 1X10T,421112866,4,0.6581,EMILDAP 10 TABLET 1X15T,0.8606,True,661
ASOMEX 2.5MG TAB. 15S(ASO25T) 15S,ASOMEX 1.25 TABLETS 1X15T,424440754,3,0.8039,ASOMEX 2.5 MG TABLET 1X15T,0.8559,True,667
OSTERI INJ 1UNIT(OSTI) 1UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7213,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7213,True,670
CARDACE 2.50X10 15S,CARDACE 2.5 MG TABLET 10x15T,421112892,1,0.8986,CARDACE 2.5 MG TABLET 10x15T,0.8986,True,672
FULVIRA INJECTION 2X5ML PF 1X1,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,2,0.7629,FULVIRA INJECTION 1X5 ML PFS,0.9274,True,680
EMTOFA 2% OINTMENT,EMTOFA OINTMENT 15GM,421113091,4,0.6993,EMTOFA OINTMENT 10 GM,0.7561,True,681
OLANEX F TAB 10S/15S 10S/15S,OLANEX  F TABLETS 1 x 15 T,424442062,1,0.9228,OLANEX  F TABLETS 1 x 15 T,0.9228,True,683
PROXYM 300ER 15S,PROXYM ER TABLET 1X15T,424441862,3,0.6550,PROXYM ER 200 TABLETS 15 T,0.8043,True,687
CELOL (10 TAB) 10TAB,FERIUM XT TABLET,424441702,8,0.3479,FERIUM CHEWABLE 100 MG TAB 10X10 T,0.4491,True,697
EMPRI-L10+5 TABLETS- 1*10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.9215,EMPRI L 10/5MG TABLET 10x10T,0.9215,True,703
EMPRI-L-25+5TABLETS-10 TAB 1*10 TAB,EMPRI L 25/5MG TABLET 10x10T,421113070,1,0.9043,EMPRI L 25/5MG TABLET 10x10T,0.9043,True,704
