PRODUCT_NAME,MATERIAL DESCRIPTION
EMSITA 50 TAB. 10S,EMSITA 50 MG TABLET 1X10T
VYLDA DM 1000 10S,VYLDA DM 100/10/1000 TABLET 1x10T
B LACT 1.2GM INJ 1VIAL,B-LACT 1.2GM INJECTION
AMARYL MV1 TAB --,AMARYL MV 1MG TABLET 10x15T
ACEGABA GRS 300MG TAB 1X10,ACEGABA GRS 300 TABLET 10T
ASOMEX LT 2.5MG TABS 15 S,ASOMEX LT TABLET 1X15T
CARDACE 10MG TABS. 15 S.,CARDACE 10 MG TABLET 10x15T
COBAFORTE-OD CAP 110CAP,COBAFORTE OD CAPSULES
OSTERI INJ. 600 MCG/2.4 ML 2.4 PE,OSTERI INJ.600MCG /2.4MLPEN DEVICE
EMILDAP S10/100 10 TAB,EMILDAP S 10/100 TABLET 1X10T
VYLDA-M 500 TAB,VYLDA-M 500 TABLETS  1X10 T
VISTAVIT CAP. 15S,VISTAVIT CAPSULES
TOPERIZONE 150,TOPERIZONE - 150 TABLETS
METPURE TEL 20 TAB 10 S,METPURE TEL 20 TABLETS
GALACT GRANULES CHOCLATE 200GM,GALACT GRANULES CHOCOLATE
BACTICURE 250MG TAB 1X10 TAB,BACTICURE 250 TABLETS 1X10 T
CARMADA 100 10s,CARMADA 100 MG TABLET 10x10T
Xplode Tab,XPLODE TABLET
C-LET-O TAB. 1X10,C - LET O TABLETS
ZOSECTA IV 20MG 1S 1S,ZOSECTA IV 20Mg.
Temsan AM 5 15s,TEMSAN AM-5 TABLETS 1X15 T
EMSITA D 10/100 TAB 10,EMSITA D 100/10 TABLET 1X10T
EMATRA 100MG CAP 1,EMATRA CAPSULES
EMANZEN DP TAB. 10S NA,EMANZEN DP TABLET
BACTILEM 1.5GM INJ NOS,BACTILEM  1.5 GM INJECTION
METPURE XL 25mg TAB 110S,METPURE XL 25 TABLET
INFEN PLASTER 10S,INFEN PLASTER 1X7
ETS 200 CAPS 1*10,ETS-200 CAPSULE 10
CORDARONE X 200 TAB. 10S,CORDARONE X 200 MG TABLET 10x15T
ASOMEX AT 2.5MG TAB 15 T,ASOMEX AT 2.5 MG TABLET 1X15T
DAPAGZA M 5 1000 10S,DAPAGZA M 5/1000 1X10T
ZOMITAC DSR CAPS,ZOMITAC - DSR 10 CAPSULES
COGNITRAC INJ 60MG vail,COGNITRAC INJECTION 60 MG
OROFER XT + SUSPENSION 200 ML.,OROFER XT + SUSPENSION 200 ML
ATOREC-CV-10 10 S,ATOREC CV 10 CAPSULES
DAPAGZA M10/1000 TAB 1X10,DAPAGZA M10/1000 1X10T
FER-IUM XT SUSP EMCURE 200ML,FERIUM XT + SUSPENSION 200 ML
CARDACE-1.25 TABS 10S,CARDACE 1.25 MG TABLET 10x15T
CELOL XT PLUS CAP 10 S,CELOL XT + TABLETS
MIGITUS 10MG TAB 10S 10S,MIGITUS 10 TABLET
CONSIVAS ASP CAPSULES 10 C 10 CAPS,CONSIVAS ASP CAPSULES
TEMSAN AM 5 TAB. 10S,TEMSAN - AM 5 TABLETS
ASOMEX LT 2.5MG TABS 10S,ASOMEX LT 2.5 MG TABLET
CLEXANE INJ 60 MG 10S,CLEXANE 60MG/0.6ML INJECTION
POVIZTRA FLXT 1.7 MG COPACK 1.5 ML,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK
ASOMEX OH TAB 10x1,ASOMEX OH TABLETS
VINTOR 6000 IU PFS 1 ML 1 ML,VINTOR 6000 IU INJ 1 PFS
EMSITA D 50/5 TABS 1*10TABS,EMSITA D 50/5 TABLET 1X10T
VYSOV M 50MG/1000 MG 1 X 10,VYSOV-M 50MG/1000MG TABLETS
UNMET TAB 1* 10 TAB,UNMET TABLET 10x10T
CELOL D3 + TABLETS 10TAB,CELOL D3 + TABLETS
TEMSAN-LNC 6.25 10TAB,TEMSAN LNC 6.25 TABLET 10x10T
NEUAL 10 TAB 10TAB,NEUAL-10 TABLETS
EMLINZ M 500TAB 10S,EMLINZ M 500 TABLET 1x10T
METPURE AM-5 TAB,METPURE AM 5 TABLETS
EMLUZ CREAM 40G 40 GM,EMLUZ CREAM 1X40 GM
FERIUM 500MG INJ 10 ML |,FERIUM INJECTION 500MG
TAVIN (L) TAB 30S,TAVIN-L TABLETS
TYBRIVA 140MG CAP 30 CAP,TYBRIVA CAPSULE 1X30C
EXAFIB 20 TAB,EXAFIB 20 TABLETS
ACEGABA NT 200 TAB 15 tab,ACEGABA NT 200 TABLET 1x15T
DOLOSPAN TAB 10S 10,DOLOSPAN TABLET
EMSITA - M 50/500 TAB,EMSITA M 50/500 1X10T
CLEXANE 60MG 2s,CLEXANE 60MG/0.6ML INJECTION
EMLEVO 250MG TAB 10 T,EMLEVO 250 TABLET
CARMADA 50MG TAB 10s,CARMADA 50 MG TABLET 10x10T
EMLINZ M5/1000 1*10,EMLINZ M5/1000 TABLET 10x10T
ACEGABA-NT 400 MG 10 TABS,ACEGABA-NT 400 TABLET 1x15T
METPURE X L 25 TAB 10 NOS,METPURE XL 25 TABLET
ASOMEX 2.5,ASOMEX 2.5 MG TABLET
MATERNA R-FSH 150 IU 1VIAL,MATERNA R-FSH 150 IU INJECTION
CONSIVAS EZ 10 MG TAB 10 TAB,CONSIVAS EZ 10 TABLET 1x10T
ATAZOR-R TAB 30S,ATAZOR-R TABLETS 1x30 T
NUMLO-AT TAB 15s,NUMLO-AT TABLET 1X15 T
EXHEP PEN REUSABLE.,EXHEP PEN REUSABLE 1X1
ETS 400MG 10CAP,ETS-400 CAPSULES 10
PAXOTUS PLUS-25 C 10CAPS,PAXOTUS PLUS 25 CAPSULE
CARDACE PROTEC 2.5 1X10,CARDACE PROTECT 2.5 TABLET 10x10T
ESGABA 150MG CAP 10S,ESGABA 150 CAPSULES
EMTIG INJ. VIAL,EMTIG INJECTION
SYLATE T 500 TABLE,SYLATE T 500 TABLET
NATRIEM 30 TAB 10TAB,NATRIEM 30 TABLET
GLIPSOV-M-20/500 TAB 1X15,GLIPSOV-M TABLET 20/500 10X15T
EMILDAP TRIO FORTE TAB TAB,EMILDAP TRIO FORTE TABLET 1x10T
NUMLO-AT 15T 15TAB.,NUMLO-AT TABLET 1X15 T
XILIA TRIO-1 10TAB,XILIA TRIO - 1 TABLETS
PAUSE-250MG TABS 10 S,PAUSE 250 MG TABLET
EMSITA D 50/5 MG TAB 10 S,EMSITA D 50/5 TABLET 1X10T
CORDARONE INJ. (150mg/3ml) 3ml,CORDARONE 150 MG/3ML INJECTION
EMLEVO 500 15TAB. --,EMLEVO 500 TABLET
EMPRI 25 TAB 10S,EMPRI 25MG TABLET 10x10T
TARGOCID 200MG/1VIAL,TARGOCID 200 MG/3 ML INJECTION
XILIA MP 1 TAB. 10.,XILIA-MP 1 TABLETS
ENZUTA CAP 28,ENZUTA CAPSULE
ELIGARD 45 MG INJ,ELIGARD 45 MG INJECTABLE SUSPENSION
VICARE BLISS TAB 10S 1*10,VICARE BLISS TABLET 1x10T
EMILDAP 5 15 TAB,EMILDAP 5 TABLET 1X15T
TEMSAN BS 40/2.5 TAB 10TAB.,TEMSAN BS 2.5/40 TABLET 10x10T
EMLEVO 750 110,EMLEVO 750 TABLET
ATPURE-12.5MG 14-S,ATPURE TABLET 12.5 MG
DOLOSPAN- P TAB 10,DOLOSPAN P TABLETS
CONSIVAS GOLD 10 1*10CA,CONSIVAS GOLD 10 CAPSULES 10X10C
NUCORIL OD TAB 20S,NUCORIL OD TABLET
PROXYM MR FORTE 10T 10T,PROXYM-MR FORTE TABLET
VYLDA P TAB 0 1X10,VYLDA P TABLET 1x10T
HOSIT FE TAB 10 ST,HOSIT FE TABLETS
AUGPEN SUSPENSION 30ML,AUGPEN SUSPENSION 30 ML
ATOREC 20MG TAB. 10s(EMC142 10s,ATOREC 20 MG TABLET
PROXYM-ER 200MG TAB 15TAB,PROXYM ER 200 TABLETS 15 T
EMDUO N 30 KIT 1KI,EMDUO N 30 KIT
ASOMEX OH FORTE TABS 10TB 1X10TAB,ASOMEX OH FORTE TABLET
SEVCAR-800 TAB 10S,SEVCAR-800 TABLETS
OROFER FCM 750MG INJ-H VIAL,OROFER FCM INJECTION 750MG/15ML
CONSIVAS-10MG TAB 1,CONSIVAS 10 MG TABLET 10X10
LAXIFAST SUSP 170*ML,LAXIFAST SUSPENSION
SEMI DAONIL 2.5 10,SEMI DAONIL TABLETS
EMSITA GM 50/2/1000 TA 10S,EMSITA GM 50/2/1000 TABLET 10x10T
ASOMEX AT 5MG TABS 10T,ASOMEX AT 5 MG TABLET
FLAWLIZO MICRO 0.01% ( 15GM,FLAWLIZO MICRO 0.1% GEL 15GM TUBE PACK
NUSAR R 2.5 1*10,NUSAR R 2.5 TABLET
GONLIX-150 10S,GONLIX 150 MG TABLET 10x10T
ATOREC ASP CAPS 110 C,ATOREC ASP CAPSULES
PARIDEM IV40 VIAL,PARIDEM IV 40MG
ROSUVAS-EZ 40 TAB --,ROSUVAS EZ 40 TABLET 1x10T
VYLDA M 500MG 110,VYLDA-M 500 TABLETS  1X10 T
EMZINC TAB 10T,EMZINC TABLET
VYLDA-M 1000 TAB 10TAB,VYLDA-M 1000 TABLETS 1X10 T
TELSITE H TAB 40MG 10 S,TELSITE H 40 TABLET 10x10T
ATOREC CV 20 CAP 10 S,ATOREC CV 20 CAPSULES
EMDYDRO SR 20 10 TAB,EMDYDRO SR 20 TABLET 3x10T
DOLOSPAN P TAB 0.1 10s,DOLOSPAN P TABLETS
GALACT ELAICHI FLAVOUR BOTTLE OF 200GM GRANULES,GALACT GRANULE 200 GM ELAICHI
EMILDAP M10/500 1*10,EMILDAP M10/500 1X10T
CEASTRA SB 130 TAB 10s,CEASTRA SB 130MG 10X10C
EMSITA D 100/10 1S,EMSITA D 100/10 TABLET 1X10T
NUSAR 50MG TAB 1X10TAB 1X10TAB,NUSAR 50 MG TABLET
EMLINZ D 5/10 MG 10S,EMLINZ D 5/10 TABLET 1x10T
EMSTAR-1GM INJ VIAL,EMSTAR 1 GM INJ 1 VIAL
SYLATE-T TAB 10TAB,SYLATE T TABLET
OSTERI INJ. 600 MCG/ 1X600MG,OSTERI INJ.600MCG /2.4MLPEN DEVICE
EMLEVO 250 TA(D) 10,EMLEVO 250 TABLET
INFEN SERA TAB 10T,INFEN SERA TABLETS
NUTIN SA TAB 1X10,NUTIN SA TABLET
SANOXABAN 2.5 MG 10 TAB,SANOXABAN 2.5 MG TABLET 10x10T
OROFER. XT TAB 110,OROFER XT TABLET
METPURE XL 25MG TAB 10 TAB,METPURE XL 25 TABLET
STROCOZ PLUS 1 *10,STROCOZ PLUS TABLET
VINTOR 4000 PFS (1*1),VINTOR 40000 IU PFS
VALPOTEX CR 200 TABS 10S,VALPOTEX CR 200 TABLET
PREGANZA-NT 10s,PREGANZA NT TABLET
XPLODE L TAB. 10S,XPLODE - L TABLETS
METPURE-XL-12.5 TAB 1X10,METPURE XL 12.5 TABLET
AMARYL.M2 TAB 20,AMARYL M 2MG TABLET 8x20T
CARDACE AM 5 TAB 1*15T,CARDACE AM 5 TABLET 10x15T
GLIPSOV M 20/1 10TA,GLIPSOV-M TABLET 20/1000 10X15T
FERIUM INJ 750mg 15ml,FERIUM INJECTION 750MG/15ML
OROFER CAP --,OROFER CAPSULES
VYLDA-M 850MG TAB 10T,VYLDA-M 850 TABLETS 1X10 T
ZILARBI 80 TAB,ZILARBI 80 TABLET
EMSITA TRIO 40 TAB. 10 PCS,EMSITA TRIO TABLET 1x10T
FERIUM INJECTION 750MG/15ML 1X 15ML,FERIUM INJECTION 750MG/15ML
ACEGABA 100 CAPSULE 1OS,ACEGABA 100 CAPSULE
EMILDAP 10MG TAB 1*15,EMILDAP 10 TABLET 1X15T
FOSEAL 800MG TAB 10S,FOSEAL 800 TABLET
COBAFORTE INJ.,COBAFORTE INJECTION
EXHEP PEN --,EXHEP PEN CARTRIDGE 300MG/3ML
XILIA M 2MG TAB 10S,XILIA - M 2 TABLETS
OROFER-S INJ 2.5ML,OROFER S INJECTION 2.5 ML
PAXOTUS PLUS 25MG 1 X10,PAXOTUS PLUS 25 CAPSULE
DEXPURE IV. 10MG,DEXPURE I.V. 10 MG
DIVRET-1.5 TAB,DIVRET TABLET 1.5MG
VICARE BLISS TAB. 10S,VICARE BLISS TABLET 1x10T
EMGARD - 5 TABS 10T,EMGARD-5 TABLETS
NUCORIL-5 TABLET,NUCORIL - 5 TABLETS 1X10 T
TAXOTERE 80MG,TAXOTERE 80 MG/4ML INJECTION
DABITRA 110MG TAB 10S 10S,DABITRA 110 CAPSULES
VICARE 1-CREAM 30 1TUBE,VICARE I-CREAM 1x30GM
DAPAGZA 10 01,DAPAGZA 10 TABLET 1X15T
TEMSAN H 80MG TAB10X15S,TEMSAN 80 H TABLETS 1X15T
TEMSAN 80 CT 10s TAB,TEMSAN 80 CT TABLETS
TARGOCID 200 MG VIAL,TARGOCID 200 MG/3 ML INJECTION
EMANZEN 5 TAB 1010 10 TAB,EMANZEN TABLET 5 MG
XPOLDE POWDER 200GM,XPLODE POWDER 200 GM
APRUv LT TAB 10S,APRUV - LT  3X2X10 T
GLIPSOV M TAB 10,GLIPSOV-M TABLET 20/500 10X15T
INFEN INJ 1X2ML,INFEN INJECTION
STROCOZ-2 INJ. 2 ML,STROCOZ-2 INJECTION
SUSTINEX-30 6S,SUSTINEX-30 TABLETS
HOFIX TAB 30S 30S,HOFIX TABLET 1X30T
MIGITUS 10 TAB. 10S.,MIGITUS 10 TABLET
DAPAGZA L 10/5 TABS 10 S,DAPAGZA L 10/5 TABLET 10x10T
CARDACE 2.5 MG TABLET 15 S,CARDACE 2.5 MG TABLET 10x15T
EMPRI 10MG 10S,EMPRI 10MG TABLET 10x10T
EMDIP T 40 10X10,EMDIP T40 TABLET
CONSIVIT TAB*,CONSIVIT TABLETS
EMPRI L 10/5,EMPRI L 10/5MG TABLET 10x10T
HOSIT FCM 1K INJ.,HOSIT FCM INJECTION 1K
INFEN-OD-50 TABLETS 10S,INFEN OD TABLETS
BPMET XL 25MG TAB 10S,BPMET XL 25 TABLET
METPURE TEL-40 TAB 10 TAB(13570 ) 0,METPURE TEL 40 TABLETS
CEDIL 500 MG INJ 1VIAL,CEDIL 500 MG INJECTION
CETAPIN V 0.2MG TAB 15  S,CETAPIN V 0.2MG TABLET 10x15T
TEMSAN 40 TABS 15 S,TEMSAN 40 MG TABLETS 10x15T
LOMOH 40MG INJ 4ML,LOMOH 40 MG INJECTION
INSTGRA TABS,INSTGRA TABLET 1X30T
EMSITA-TRIO 10TAB STRIP,EMSITA TRIO TABLET 1x10T
METPURE AM 2.5 10/S,METPURE AM 2.5 TABLETS
EMPRIL L 25/5 MG TAB 10 S,EMPRI L 25/5MG TABLET 10x10T
PROXYM MR FORT 10S,PROXYM-MR FORTE TABLET
METPURE XL25MG TABS 10S,METPURE XL 25 TABLET
S-NUMLO-5MG TAB 15 s,S-NUMLO 5 MG TABLET 1x15 T
CONSIVAS F TAB.,CONSIVAS-F TABLETS
NUSAR ATN TAB 10 TAB,NUSAR ATN TABLET
TELSITE 80MG TAB 15;S(10005592),TELSITE 80 MG TABLET 10x15T
TEPAPRO 15MG INJ 1VIAL,TEPAPRO INJECTION
MATERNA HMG 150 I.U VIAL,MATERNA-HMG 150 I.U.
DILPRA OD500 1*10,DILPRA OD 500 TABLETS
PREGANZA NT --,PREGANZA NT TABLET
INFEN PLASTER EMCURE 1 S,INFEN PLASTER 1X7
PROXYM-XT TAB 110,PROXYM-XT TABLETS
MATERNA HMG 75 IU VIAL,MATERNA-HMG 75 I.U.
NEULA TM TAB 10S,NEUAL TM TABLETS
ASOMEX 2.5 MG TAB 15 TAB,ASOMEX 2.5 MG TABLET 1X15T
TEMNER TAB,TEMNER TABLETS 1X30T
STROCOZ-PLUS 1*10 TAB,STROCOZ PLUS TABLET
ASOMEX-2.5 10S,ASOMEX 2.5 MG TABLET
MIGITUS 10MG TAB,MIGITUS 10 TABLET
OROFER-XT-SYP 1*150ML,OROFER XT SUSPENSION 150 ML
HOSIT FORTE INJ 1 VAIL,HOSIT FORTE INJECTION
DILPRA OD 500 TAB 10TAB,DILPRA OD 500 TABLETS
ASOMEX Tab 2.5mg,ASOMEX 2.5 MG TABLET
AURICH 200 INJ 4ML,AURICH-200 INJECTION
ROSUVAS EZ 40 TAB. 10s,ROSUVAS EZ 40 TABLET 1x10T
EXDUO 50 TAB 10 TA,EXDUO 50 TABLET 1x10T
Emsita M 50/1000 10tab,EMSITA M 50/1000 1X10T
CEASTRA XL-100 CAP 0 1X7,CEASTRA XL-100 CAPSULES
METPURE XL 12.5MG 1X10,METPURE XL 12.5 TABLET
FERRI 100 INJECTION,FERRI-100 INJECTION
NUMLO TMH,NUMLO TMH TABLET 10x10T
CONSIVAS EZ 40 TAB 1*DEFAUL,CONSIVAS EZ 40 TABLET 1x10T
PREGANZA D 75/20MG CAPS 10S,PREGANZA D 75/20 CAPSULE 1x10C
GALOP 10 TAB 1*10,GALOP 10 MG TABLETS
INDUZ TABS 5S,INDUZ TABLETS 1X 5 T
ATOREC-ASP 10ST,ATOREC ASP CAPSULES
CELOL D3 PLUS TABLET 10TAB,CELOL D3 + TABLETS
MATERNA HMG HP 225IU/0.75ML ML,MATERNA HMG HP 225 IU/0.75ML PFS
ZILARBI 80MG TAB SM 10T,ZILARBI 80 TABLET
ZILARBI-80 TAB. 10S,ZILARBI 80 TABLET
MYPLAT TAB 10T,MYPLAT TABLETS
LOMOH 60MG INJ 30 1 GM,LOMOH 60 MG INJECTION
EXAFIB TAB 20MG 14 S,EXAFIB 20 TABLETS
DENMAB INJ 60MG/ML 1ML,DENMAB INJECTION 60 MG/ML
MOM-B9 TAB 10S,MOMB9 CAPSULES
NUMLO TM 5MG 15S,NUMLO-TM 5 TABLETS 1X15 T
OLBET CT 20 10S,OLBET CT 20 MG TABLETS
EMLINZ DM FORTE 10T,EMLINZ DM FORTE TABLET 10x10T
EMSITA-TRIO 1*10,EMSITA TRIO TABLET 1x10T
PAUSE 1000 TAB. 10,PAUSE 1000 TABLETS 10x10T
NEUAL 10MG TAB 10 TAB,NEUAL-10 TABLETS
PREGANZA D 50/20 1X10,PREGANZA D 50/20 CAPSULE 1x10C
TELSITE 20 15T,TELSITE 20 MG TABLET 10x15T
LOMOH 60 INJ 1 VIAL,LOMOH 60 MG INJECTION
EMLINZ M 500 TAB 10S 10 S,EMLINZ M 500 TABLET 1x10T
OROFER XT TAB 110TAB,OROFER XT TABLET
EMSITA M 50/500 1X10T --,EMSITA M 50/500 1X10T
HOSIT D3 TAB 10 S FRIDGE,HOSIT D3 TABLET
CELOL-D3 + CAP 15CAP,CELOL D3 + TABLETS
EMPERIDE 2MG TAB 10TAB,EMPERIDE TABLET 2 MG
HOSIT FCM-750MG 15ML,HOSIT FCM INJECTION 750MG/15ML 
Atorec ASP Cap. 10S,ATOREC ASP CAPSULES
MATERNA-HMG 75I.U 1,MATERNA-HMG 75 I.U.
EMATRA 10MG CAPS 100S,EMATRA CAPSULES
CARMADA 200MG TABLE 1 TABLET,CARMADA 200 MG TABLET 10x7T
MIGITUS 10 TABLET --,MIGITUS 10 TABLET
CORDARONE -X 200MG TAB 15,CORDARONE X 200 MG TABLET 10x15T
HOSIT FCM INJ 1K 1 PCS,HOSIT FCM INJECTION 1K
FERIUM XT DROPS 15ML 15ML,FERIUM XT DROPS 15 ML
BEAT HF-7.5 MG 10 TAB,BEAT HF 7.5 TABLETS 10X10 T
INFEN P TAB 10 s,INFEN P TABLETS
CLAMOB 1.2GM VIAL,CLAMOB IV 1.2GM
PROXYM-MR TAB 10S 10S..,PROXYM-MR TABLET
DAONIL TAB 30S 1,DAONIL TABLETS 1 X 30 T
CETAPIN V 0.03 MG TAB 1X15,CETAPIN V 0.3MG TABLET 10x15T
ASOMEX 2.5 TAB .. 15TAB,ASOMEX 2.5 MG TABLET 1X15T
Nusar Atn Tab,NUSAR ATN TABLET
NUMLO TMH TAB10T 10T,NUMLO TMH TABLET 10x10T
COLIST 4.5 INJ PCS,COLIST 4.5 INJECTION
NUMLO-M 10T,NUMLO-M  TABLETS 10X10 T
CALONAT- XT TAB 15S,CALONAT XT TABLET 10x15T
OROFER XT  SUP 200ML,OROFER XT + SUSPENSION 200 ML
XILIA 1 MG 10,XILIA - 1 TABLETS
EMRAB TAB 1*10TAB,EMRAB TABLETS
Emluz Lotion 15ml,EMLUZ LOTION
EMANZEN-D OINT 30GM,EMANZEN D OINTMENT 30 GM
OXA 100 MG VIAL,OXA 100 MG INJ 1 VIAL
COBAFORTE CD3 TAB 10S --,COBAFORTE CD3 TABLET
SYLATE - 250 10 S,SYLATE TABLETS 250 MG 10
EMILDAP TRIO FORTE TABLET 1x10T-10 T,EMILDAP TRIO FORTE TABLET 1x10T
GAZIN ER 60MG 10 TAB,GAZIN ER 60 TABLET
TELSITE 20MG TABS.   15'S,TELSITE 20 MG TABLET 10x15T
PACENORM 100 TAB,PACENORM 100 TABLET
FLAWLIZO MICRO 0.1 GEL 1*15GM,FLAWLIZO MICRO 0.1% GEL 15GM TUBE PACK
VYLDA TAB 115TAB,VYLDA TABLETS 1X15 T
GALACT LACTATION GRANULES 600G CHOCOLATE FLV 1,GALACT GRANULES 600GM CHOCOLATE
PROXYM-MR FORTE TABLET 110,PROXYM-MR FORTE TABLET
XILIA M2 10S 10S,XILIA - M 2 TABLETS
TEPAPRO 100MG INJ. 11,TEPAPRO 100 MG INJECTION
AMARYL 3MG 30TABS,AMARYL 3MG TABLET 10x30T
INFEN-P TAB 10STRIP 10TAB,INFEN P TABLETS
OROFER - XT DROPS 15ML,OROFER XT DROPS
EMSTAR 1.0 GM INJ NOS,EMSTAR 1 GM INJ 1 VIAL
STROCOZ PLUS TABS 1X10,STROCOZ PLUS TABLET
TEMSAN H 40 TAB 1x15s,TEMSAN H TABLETS 1X15 T
FERIUM XT  SUSPENSION 200,FERIUM XT + SUSPENSION 200 ML
TEMSAN 80 H 1X15 10X15,TEMSAN 80 H TABLETS 1X15T
XILIA-MP 1 TAB 1*10S,XILIA-MP 1 TABLETS
LOMOH-40 INJ. 1VAIL,LOMOH 40 MG INJECTION
PIOGLU M 15,PIOGLU-M 15 TABLET
TEMSAN 80CT TAB 10TAB,TEMSAN 80 CT TABLETS
LOBASET- 10 TAB 10,LOBASET 10 TABLETS
EMLETRA TAB 120S,EMLETRA TABLET 1x120T
ARTH GUT HEALTH SUPPORT CAP 30S,ARTH GUT HEALTH SUPPORT 1x30C
EPOFER 10000 IU PFS,EPOFER 10 000 - PFS
NUCORIL-5 TAB,NUCORIL - 5 TABLETS 1X10 T
SILNAFIL TABLET 10 TAB,SILNAFIL TABLETS
PREGANZA D 50/20 CAP 10s 10s,PREGANZA D 50/20 CAPSULE 1x10C
METPURE XL 25MGTAB. 10S,METPURE XL 25 TABLET
AMARYL-2 TAB. 30S --,AMARYL 2MG TABLET 15x30T
BPMET-XL 50 MG TAB 1*10 --,BPMET XL 50 MG TABLET
ASOMEX-TM 5MG TAB 15 AB 15,ASOMEX - TM 5 TABLETS 1X15T
TRAZUMAB 150MG INJ 1S,TRAZUMAB  INJECTION 150 MG
XPLODE SACHETS 50ML,XPLODE SACHET
NUSAR AM TABS 10,NUSAR AM TABLET
EMPRI 25 TAB 10 TA,EMPRI 25MG TABLET 10x10T
CORDARONE 100MG PC 15 S,CORDARONE 100 MG TABLET 20x15T
CORDARONE 100 TAB 1*10,CORDARONE 100 MG TABLET 20x15T
EMPROGEST SR 400 TABLET --,EMPROGEST SR 400 TABLET
CONSIVAS BM Tab 10s,CONSIVAS BM TABLET 1x10T
VYLDA M 850 TABLETS 10S,VYLDA-M 850 TABLETS 1X10 T
DYDROFEM TAB 10  S,DYDROFEM TABLETS
VINTOR 10000 PFS INJ NA,VINTOR 10000 IU INJ 1 PFS
SKIZOTUS 200MG TAB emcure 1*10,SKIZOTUS - 200 TABLETS
ZILARBI-40MG TAB 10S,ZILARBI 40 TABLET
OROFER FCM 750 1S,OROFER FCM INJECTION 750MG/15ML
Laxifast Sus 170ml,LAXIFAST SUSPENSION
BRUTEK-400MG TAB 10S,BRUTEK-400 MG TABLETS
CONSIVAS GOLD-20 10CAP,CONSIVAS GOLD 20 CAPSULES 10X10C
PAUSE 500MG 110,PAUSE TABLET 500 MG
HOSIT-L 1*10TAB,HOSIT L TABLET
VINGRAF CAP 0.5MG CAP,VINGRAF 0.5 CAPSULES
EOPTAL 150MG TAB 110,EOPTAL 150 MG TABLET 10X10
Eoptal 300mg Tab 10s,EOPTAL 300 TABLETS 10X10 T
MVISTA STRIP OF 10 SOFTGEL CAPSULES,MVISTA CAPSULES
LAMOTEM 100MG 10 S,LAMOTEM 100 MG TABLET
ACEGABA ME 100 TAB 10S,ACEGABA ME 100 TABLET
POVIZTRAFLXT 2.4 MG 3 ml,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK
ORLE-120 CAPS,ORLE-120 CAPSULES
TEMSAN - 80 TAB 15S,TEMSAN 80 MG TABLETS 10x15T
LIPIRA 10T,LIPIRA 10 TABLET
OROFER FCM INJ 1K 1 S,OROFER FCM  INJECTION 1K
