PRODUCT_NAME,MATERIAL DESCRIPTION
EMSITA GM 50/1/500 10 T,EMSITA GM 50/1/500 TABLET 10x10T
EMSITA M SR 100/1000 TAB 10S 10,EMSITA M SR 100/1000 1X10T
CONSIVAS-GOLD 20MG CAPS 10S,CONSIVAS GOLD 20 CAPSULES 10X10C
EMPROGEST GEL. 1*1.125M,EMPROGEST GEL 1.125 GM
AMARYL 1MG 10X30S 30S,AMARYL 1MG TABLET 10x30T
EMSITA GM 50/2/1000MG TAB 10 TAB,EMSITA GM 50/2/1000 TABLET 10x10T
FITJOINT-MAX CAP- 10S10003461 10S,FITJOINT MAX CAPSULES
CETAPIN XR 1GM TAB DPCO 15S,CETAPIN XR 1000MG TABLET 10x15T
CELCEPT 500MG TABS. 10S,CELLCEPT 500MG TABLET 10T
BENFOSULES CP 10C 10C,BENFOSULES CAPSULES
HOSIT TAB TAB,HOSIT TABLET
ASOMEX AT-2.5 TAB 10,ASOMEX AT 2.5 MG TABLET
MATERNA HCG HP 5000 IU INJ 1,MATERNA-HCG 5000 IU HP
EXHEP REUSABLE PEN 1,EXHEP PEN REUSABLE 1X1
ORLE 60 TAB 1X10,ORLE-60 CAPSULES
STROCOZ PLUS 1 *10,STROCOZ PLUS TABLET
CONSIVAS EZ40 10S,CONSIVAS EZ 40 TABLET 1x10T
PIGLIT 20MG 1 VIAL 0,PIGLIT INJECTION
LOBAST 10MG TAB 1010,LOBASET 10 TABLETS
Amaryl M 1mg 20S - Sanofi,AMARYL M 1MG TABLET 8x20T
EPITRIL-0.5 1*10,EPITRIL 0.5 MG TABLET
IMINORAL-100 1X5,IMINORAL - 100 CAPSULES
S-NUMLO 5 MG,S-NUMLO 5 MG TABLET
PROCTOSEDYL 20GM OINT,PROCTOSEDYL BD CREAM
SYLATE 250MG.TAB. 1X10,SYLATE TABLETS 250 MG 10
TELSITE TABS 80MG. 10S S,TELSITE 80 MG TABLET 10x15T
FITJOINT CAPSULES 10S,FITJOINT CAPSULES
ACEGABA 100MG TA 10S,ACEGABA 100 CAPSULE
XILIA TRIO-1 TAB 10,XILIA TRIO - 1 TABLETS
DOTRA M TABS 10TAB,DOTRA-M TABLET
EPICURE 100MG,EPICURE-100 INJECTION
TAPIC 4.5GM INJECTION VIAL,TAPIC INJECTION 4.5 gm
OROFER-XT-TAB.,OROFER XT TABLET
ASOMEX-M TAB 1X10T,ASOMEX - M  TABLETS 10X10 T
EOPTAL 300 TAB 10*10,EOPTAL 300 TABLETS 10X10 T
PAUSE - INJ 5 ML 55 5 ML,PAUSE INJECTION
EOPTAL 300 10*10,EOPTAL 300 TABLETS 10X10 T
METPURE TEL 40MG TAB (1X10) 10,METPURE TEL 40 TABLETS
OROFER-CAPSULES. 10CAP.EMC12 10CAP.,OROFER CAPSULES
BEAT HF 5 TAB,BEAT HF 5 TABLETS 10X10 T
EMSIDON -80- TAB 10 TABS,EMSIDON - 80 TABLET
COBAFORTE OD CAP 1X10,COBAFORTE OD CAPSULES
SILNAFIL 10TAB,SILNAFIL TABLETS
CELOL PLUS 1*10CAP,CELOL+ TABLET
ZILARBI CN TAB 1*15,ZILARBI CN TABLETS 1x15 T
HOSIT FE TAB 1*3,HOSIT FE TABLETS
TEMSAN LNC 12.5 TAB 10-S,TEMSAN LNC 12.5 TABLET 10x10T
GALOP 20 1*10,GALOP 20 MG TABLETS
CELOL XT CAP 10,CELOL XT CAPSULES
EMPRI M 12.5/500 TAB 10 TAI,EMPRI M 12.5/500 MG TABLET 10x10T
XILIA-M2-TABS 10S,XILIA - M 2 TABLETS
ASOMEX-D,ASOMEX D TABLET
CHYEMRYL FORTE TAB 20S 20,CHYEMRYL FORTE TABLET 10X20T
EMPRI L 25/5 10PCS,EMPRI L 25/5MG TABLET 10x10T
EMGRA D,EMGRA D TABLETS
GALOP 5 MG TAB 10S,GALOP 5 MG TABLETS
ASOMEX AT 5MG TAB 15S-1s,ASOMEX AT 5 MG TABLET 1X15T
EMNAC TAB 15*1,EMNAC TABLETS
VYLDA 50MG 15S,VYLDA TABLETS 1X15 T
EMSITA-100 MG TAB 10,EMSITA 100 MG TABLET 1X10T
AMARYL-MV 2 TAB 15,AMARYL MV 2MG TABLET 10x15T
HEPALO-0.5 TABS 10S,HEPALO - 0.5 TABLET
SILNAFIL TAB 10 TAB,SILNAFIL TABLETS
ROSUVAS EZ 10MG 10T 10T,ROSUVAS EZ-10 TABLETS
CONSIVAS GOLD 20MG TAB 10S 10,CONSIVAS GOLD 20 CAPSULES 10X10C
EMPROGEST-400 CAPSULE,EMPROGEST-400 CAPSULE
CONSIVAS -EZ 20 TABLET 10s,CONSIVAS EZ 20 TABLET
OROFER XT TOTAL TAB TP,OROFER XT TOTAL TABLET
PAUSE XT TAB TAB,PAUSE-XT TABLETS
ACEGABA GRS 300 1*10 TAB,ACEGABA GRS 300 TABLET 10T
AMARYL MV 1(15 TAB),AMARYL MV 1MG TABLET 10x15T
EMDYDRO SR-20 10TAB,EMDYDRO SR 20 TABLET 3x10T
EMANZEN FORTE 10 MG 10 S,EMANZEN FORTE TABLET 10 MG
EMSITA-GM-50/2/500 10S,EMSITA GM 50/2/500 TABLET 10x10T
TEMSAN-AM-5,TEMSAN - AM 5 TABLETS
TEMSAN-CT 6.25 TAB. 10 S,TEMSAN CT-6.25 TABLETS
ATOREC GOLD 20 TAB 10x1,ATOREC GOLD 20  10X10 C
CELOL XT + TAB 10 10EMC153 10 *10,CELOL XT + TABLETS
OROFER S 200 INJ 10m --,OROFER S 200 INJECTION 10 ML
EMSITA M SR 100*1000* 1*10,EMSITA M SR 100/1000 1X10T
NEUAL-5 10 TAB,NEUAL-5 TABLETS
FERIUM XT 200 ML SUSP 1 S,FERIUM XT + SUSPENSION 200 ML
INFEN -INJ. 2ML,INFEN INJECTION
DILPRA OD 250MG TAB 10TAB,DILPRA OD 250 TABLETS
EMSITA D 100/10 TABLET 10S,EMSITA D 100/10 TABLET 1X10T
EMPROGEST 200 CAPSUL 10S,EMPROGEST-200 CAPSULE
STROCOZ SYRUP 60 ML --,STROCOZ SYRUP 60 ML
DEXPURE I V,DEXPURE I.V. 10 MG
ASOMEX TM 5 TAB 10 S,ASOMEX - TM 5 TABLETS
GLYREP XL 1000 TAB 1 0S,GLYREP XL 1000 TABLET
S NUMLO 5 TAB 15TAB,S-NUMLO 5 MG TABLET 1x15 T
NUMLO D TABLET 10S,NUMLO-D TABLET
CEASTRA XL-100 1*7 CAP,CEASTRA XL-100 CAPSULES
EMSITA-D 100/10 TAB 10 TAB,EMSITA D 100/10 TABLET 1X10T
NEUAL - 5 TABS 10S,NEUAL-5 TABLETS
PREGANZA-NT TAB 10S,PREGANZA NT TABLET
CARDACE 1.25MG TAB 15S --,CARDACE 1.25 MG TABLET 10x15T
IMINORAL 50MG CAPS --,IMINORAL - 50 CAPSULES
PROXYM ER 200MG 15TAB PCS,PROXYM ER 200 TABLETS 15 T
ASOMEX 1.25MG TABL 15S,ASOMEX 1.25 TABLETS 1X15T
CONSIVAS 5 10S,CONSIVAS-5 TABLETS
CELOL-D- 3 CAPS 10S,CELOL - D 3 CAPSULES
DILPRA-250 TABS 110,DILPRA 250 TABLETS
FCMO Injection 750mg/15ml 15ML,FCMO  INJECTION 750MG/15ML
ATOREC 80 TAB 1*10,ATOREC 80 MG TABLET
CELOL+ TABS. 10Tabs,CELOL+ TABLET
VICARE TOTAL CAP 1*10 CAP,VICARE TOTAL CAPSULE 1x10C
EMILDAP M 10/500 TAB 10 S,EMILDAP M10/500 1X10T
S NUMLO 2.5MG TAB.,S-NUMLO 2.5 MG TABLET
AURICH CREAM 30 GM,AURICH CREAM 30GM
TEMSAN BS 5/ 40 TAB. 1X10,TEMSAN BS 5/40 TABLET 10x10T
CONSIVAS GOLD 10 CAP 10 TAB,CONSIVAS GOLD 10 CAPSULES 10X10C
ACEGABA NT 200 TAB 1X15,ACEGABA NT 200 TABLET 1x15T
SOLGLO-HYBRID SUNSCREAN 50ML,SOLGLO HYBRID SUNSCREEN 50ML
AXENTRI TABS 60,AXENTRI TABLETS 1X60T
SAV HF 50MG TABS 10S,SAV HF 50 TABLET 6x10T
CELOL+ TAB 10 AB 10,CELOL+ TABLET
CONSIVAS-F 10160 10 PCS,CONSIVAS-F10/160 TABLETS
CARDACE PROTECT 5/10MG 10S,CARDACE PROTECT 5 TABLET 10x10T
VYLDA-M 850 TAB 10TAB.,VYLDA-M 850 TABLETS 1X10 T
EXDUO 100MG TAB --,EXDUO 100 TABLET 1x10T
FERRI-100 INJ 1ML,FERRI-100 INJECTION
TEMSAN CT 40/12.5 TAB 10S,TEMSAN CT 40/12.5 MG TABLET 10X10
MOFILET S 360 -,MOFILET S 360 TABLET
ASOMEX D TABLET 10T,ASOMEX D TABLET
EMSITA GM 50/1/500MG TAB 10,EMSITA GM 50/1/500 TABLET 10x10T
DABITRA 150 CAP 1 X 10,DABITRA 150 CAPSULES
DEXPURE TAB 10TAB,DEXPURE TABLETS
ASOMEX-OH 10,ASOMEX OH TABLETS
CONSIVAS GOLD 10 TAB 10,CONSIVAS GOLD 10 CAPSULES 10X10C
XILIA M1 TAB* 1*10,XILIA - M 1 TABLETS
FEMZACT STRIP OF 10 CAPSULES,FEMZACT CAPSULE 3x10C
EPITRIL 1MG 1*10,EPITRIL 1 MG TABLET
PROXYM ER 200 10,PROXYM ER 200 TABLETS
SYLATE CVP TABLETS 10 S,SYLATE CVP TABLETS
ETS 400MG CAP 10S,ETS-400 CAPSULES 10
EXDUO 200MG 1*10,EXDUO 200 TABLET 10 T
INFEN-OD TAB. 1X10,INFEN OD TABLETS
ZORDIL 4 TAB 10S 10S,ZORDIL 4 TABLET
MOFILET 500 MG 10T,MOFILET 500 MG TABLET
CONSIVAS EZ 40 MG TAB,CONSIVAS EZ 40 TABLET 1x10T
C ZID 1.0GM INJ 1VIAL,C-ZID 1GM
PAUSE 250MG TAB 10T,PAUSE 250 MG TABLET
LOBASET 10 TAB 1*10TA,LOBASET 10 TABLETS
NUTRIRIGHT-W TABLET 10,NUTRIRIGHT W TABLETS
VYSOV-M- 50/500 10 S,VYSOV-M 50MG/500MG TABLETS
ASOMEX TM 2.5MG. 1X10,ASOMEX - TM TABLETS
AMARYL M 2MG TAB. 20 S,AMARYL M 2MG TABLET 8x20T
EMSITA D 10/100 TAB 10-T,EMSITA D 100/10 TABLET 1X10T
GROS 30 INJECTION PCS,GROS 30 INJ 1 VIAL
ASOMEX-D5 TAB(PH 10TAB,ASOMEX D 5 TABLET
EMSITA TRIO FORTE TABLET 10TAB,EMSITA TRIO FORTE TABLET 1x10T
TEMSAN LN TAB 10*15s,TEMSAN LN TABLET 10x15T
ARMOD,ARMOD-50 TABLETS
EXAFIB 20 10TAB,EXAFIB 20 TABLETS
Nucarnit 500 Tab,NUCARNIT 500 TABLET
C-LET INJCTION 250MG,C - LET 250 MG INJECTION
CEASTRA XL 200 CAP --,CEASTRA XL-200 CAPSULES
TELSITE-80 15TAB,TELSITE 80 MG TABLET 10x15T
CONSIVAS D3 10S 10X10,CONSIVAS-D3 TABLETS
EMSITA M 50/1000 10 NOS,EMSITA M 50/1000 1X10T
MATERNA HMG HP 1*1PFS,MATERNA HMG HP 300 IU/1ML PFS
TELSITE-40 15 S,TELSITE 40 MG TABLET 10x15T
TEMSAN CT 40\12.5 MG TAB 1*10,TEMSAN CT 40/12.5 MG TABLET 10X10
EMSITA D 100/10 TABS 10S,EMSITA D 100/10 TABLET 1X10T
HOSIT TAB INC,HOSIT TABLET
ULTIMOX KID TAB 10 TAB,ULTIMOX CLAV KID DT TAB
COGNITRAC INJ 60M 1 VIAL,COGNITRAC INJECTION 60 MG
CALONAT D3 GRANULES --,CALONAT - D3 GRANULES
DILPRA OD 250 TAB 1*10 TAB,DILPRA OD 250 TABLETS
SANOXABAN 2.5 MG 10 TB,SANOXABAN 2.5 MG TABLET 10x10T
ELAXIM 30 INJ --,ELAXIM 30
VYLDA M 500 1X10T,VYLDA-M 500 TABLETS  1X10 T
XILIA-M1 FORTE TABLETS 10TAB,XILIA - M 1 FORTE TABLETS
CARDACE AM 10/5MG TAB 10CAP,CARDACE AM 10 TABLET 10x15T
METPURE AM 5 10 --,METPURE AM 5 TABLETS
TEMSAN 40MG TAB 15S 10X15,TEMSAN 40 MG TABLETS 10x15T
EMANZEN FORTE 10MG TAB 1*10,EMANZEN FORTE TABLET 10 MG
CONSIVAS CV-10 10CAP,CONSIVAS CV 10 CAPSULE 10x10C
VALPOTEX CR 500 TAB. 10S,VALPOTEX CR 500 TABLET
MIGITUS 10 MG 1 *10,MIGITUS 10 TABLET
FERRI-2ML INJ 2ML,FERRI INJECTION
EMPROGEST GEL 1.125 GM-1s,EMPROGEST GEL 1.125 GM
CETAPIN - V 0.3 MG TAB 1X15TAB,CETAPIN V 0.3MG TABLET 10x15T
CEASTRA 200MG 10S,CEASTRA 200 CAPSULES 10X10C
FLAWLIZO 0.025% CREAM 20G 20 GM,FLAWLIZO 0.025% CREAM 20GM
METPURE XL 12.5 TAB 10 Tab,METPURE XL 12.5 TABLET
BACTICURE 1.5 INJ 1VAIL,BACTICURE - 1.5 GM INJECTION
ATOREC GOLD 20 CAPSULES 10S,ATOREC GOLD 20  10X10 C
CONSIVAS-20 TAB 10 T,CONSIVAS 20 MG TABLET 10X10
REE INJECTION 5ML 0,REE INJECTION 5 ML
INFEN PLASTER 7P,INFEN PLASTER 1X7
STADINE 30 CAP.60CAP 60CAP,STADINE - 30 CAPSULES 1X60 C
TEMCURE 250MG CAPS,TEMCURE 250 CAPSULES
ARMOD 150MG TABS.BIG 15 S.,ARMOD-150 TABLETS 1 x 15 T
EXAFIB 10 MG. TABS. 14S,EXAFIB 10 TABLET
ENHEMO 500 MG TAB,ENHEMO 500 TABLET 10x10T
BEVAREST 400MG INJ 16ML,BEVAREST 400 INJECTION
LOMOH 40MG INJ 1VAIL,LOMOH 40 MG INJECTION
CARDACE 5MG TAB 15 ;S,CARDACE 5 MG TABLET 10x15T
COGNITRAC INJ 60MG 1ML,COGNITRAC INJECTION 60 MG
PROXYM-ER 300 1X15,PROXYM ER 200 TABLETS 15 T
PROXYM MR TAB. 10S,PROXYM-MR TABLET
BEVAREST 400MG INJ 1*1,BEVAREST 400 INJECTION
EMDYDRO TAB 10  S,EMDYDRO TABLET 1X10T
ATpure 12.5 TAB 14S,ATPURE TABLET 12.5 MG
CONSIVAS EZ 20MG STRIP OF 10 TABLETS,CONSIVAS EZ 20 TABLET
EMILDAP 10 MG 15 S,EMILDAP 10 TABLET 1X15T
EMDYDRO TAB (30),EMDYDRO TABLET 1x30T
POVIZTRA FLXT 1MG 3ML COMBIPACK,POVIZTRA FLXT 1MG 3ML 1PC COPACK
EMPETUS 30T 30 TAB,EMPETUS 100 MG TABLET 30s
EXELON TTS 4.6 PATCHES (E 1 PACK,EXELON TTS  4.6 MG 1X5 PATCHES
DILPRA OD 500 MG 1*10,DILPRA OD 500 TABLETS
SYLATE 250MG TABS 10 S,SYLATE TABLETS 250 MG 10
TRIOLVANCE 40TAB 10T,TRIOLVANCE 40 TABLETS
EMLINZ M5/1000 TAB 10 S,EMLINZ M5/1000 TABLET 10x10T
ARMOD 150 TAB 10 TAB,ARMOD-150 TABLETS
EMANZEN-D TAB 1X10T,EMANZEN D TABLET
EMSITA 50 MG TAB 1*10,EMSITA 50 MG TABLET 1X10T
VYLDA DM100/10/ 500 TAB 10,VYLDA DM 100/10/500 TABLET 1x10T
C-TRI 500 INJ 1VIAL,C-TRI 500 MG INJECTION
CELOL XT PLUS TAB,CELOL XT + TABLETS
VINTOR 3000 PFS 1 PFS,VINTOR 3000 - PFS
CARDACE 5MG TAB. TAB.,CARDACE 5 MG TABLET 10x15T
AMARYL M 1 20 TAB TAB,AMARYL M 1MG TABLET 8x20T
CELOL+ TABLET 10s,CELOL+ TABLET
SYLATE INJ.2ML NOS,SYLATE INJECTION 2 ML
LIPIRA-10MG TAB 10s,LIPIRA 10 TABLET
VINTOR- 6000-PFS PFS,VINTOR 6000 IU INJ 1 PFS
MATERNA R FSH75 IU IAMP,MATERNA R-FSH 75 IU INJECTION
Q-TAX 1G INJ,Q - TAX 1.0 GM INJECTION
EMSITA GM 50/2/500 TAB. 10S,EMSITA GM 50/2/500 TABLET 10x10T
ARMOD 150 TAB. 10,ARMOD-150 TABLETS
NUMLO TM 5 TAB 10TAB,NUMLO-TM 5 TABLETS
XILILA MP1 --,XILIA-MP 1 TABLETS
SKIZOTUS OD 300 TAB-10s,SKIZOTUS OD 300 TABLET
METPURE AR 5 TAB. 10S,METPURE AR 5 TABLETS
ATPURE-SA TAB 10,ATPURE SA TABLET
NUCORIL - 5 TABLETS 1X30 T,NUCORIL - 5 TABLETS 1X30 T
DYDROFEM-SR 30 TAB 10S,DYDROFEM SR 30 TABLET 3x10T
GALACT LACTATION GRANULES KES 400GM --,GALACT GRANULES 400 GM KESAR
ATOREC 20mg 10s,ATOREC 20 MG TABLET
CARDACE AM 2.5/5MG. 10,CARDACE AM 2.5 TABLET 10x15T
MATERNA HMG 150IU VAIL,MATERNA-HMG 150 I.U.
NUCORIL 5MG TABS,NUCORIL - 5 TABLETS 1X10 T
TEMCURE 20MG CAP 1X5,TEMCURE 20 CAPSULES
VYLDA DM 100/5/500 10S,VYLDA DM 100/5/500 TABLET 1x10T
DENLAFAX 100MG TAB,DENLAFAX-100 TABLETS
ATOREC GOLD 10 110,ATOREC GOLD 10  10X10 C
ASOMEX 2.5 TABS 15 S,ASOMEX 2.5 MG TABLET 1X15T
CONSIVAS ASP 10 MG C 10 CAP,CONSIVAS ASP CAPSULES
Numlo TM 5 Tab. 10S,NUMLO-TM 5 TABLETS
POVIZTRA FLXT 0.5MG 1 S,POVIZTRA FLXT 0.5MG 1.5ML 1PC COPACK
ASOMEX 1.25MG T 1*10,ASOMEX 1.25 MG TABLET
COBAFORTE CD3XL TAB 1,COBAFORTE CD3 XL TABLET 10T
Orofer Xt + Susp 200ml,OROFER XT + SUSPENSION 200 ML
TEMSAN 20MG TAB S 15 S,TEMSAN 20 MG TABLETS 10x15T
CONSIVAS-CV 10MG CAP 10S 10 Cap,CONSIVAS CV 10 CAPSULE 10x10C
GALACT CHOCO 400 400G,GALACT GRANULES 400 GM CHOCOLATE
OROFER XT TABLET 515T,OROFER XT TABLET 1x15T
MUVMEND SYP 200 ML,MUVMEND ORAL SOLUTION 200 ML
E-TEL -20 10T,E - TEL 20 TABLETS
NUCARNIT M --,NUCARNIT M TABLET
POVIZTRA FLEXT 1.7MG 3ML 3ML,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK
CARDACE 10MG 15S,CARDACE 10 MG TABLET 10x15T
AMARYL M FORTE 2MG TABS 1*15TABS,AMARYL M FORTE 2MG TABLET 10x15T
GALACT GRANULES 400 GM,GALACT GRANULES 400GM ELAICHI
EMSITA GM 50/2/1000 MG TAB 10 TAB,EMSITA GM 50/2/1000 TABLET 10x10T
EMSITA M SR 100/500 MG TAB 10S,EMSITA M SR 100/500 TABLET 1x10T
MATERNA HMG 75 VIAL,MATERNA-HMG 75 I.U.
TICAPLAT 90 TAB 110,TICAPLAT 90 TABLETS 6X10 T
EMANZEN D TABLETS 1*10,EMANZEN D TABLET
JUSTINEX 30MG TABS 10S,JUSTINEX 30 TABLETS
ASOMEX-AT 2.5/50 TAB,ASOMEX AT 2.5 MG TABLET
CONSIVAS-F 10s,CONSIVAS-F TABLETS
ENCICARB 750 MG INJ 15 ML,ENCICARB INJECTION 750MG/15ML
PROXYM-ER 200 TAB 10 S,PROXYM ER 200 TABLETS
BESTFORM-M TAB 1X10,BESTFORM M TABLET 1x10T
GALOP 5 MG TABLET 10S,GALOP 5 MG TABLETS
TEMSAN C-T 406.25 1*10,TEMSAN CT-6.25 TABLETS
TAVIN 300MG TAB 1*30T,TAVIN 300 MG TABLET 30s
CETAPIN XR 1000MG TAB$ 15S,CETAPIN XR 1000MG TABLET 10x15T
EMANZEN DP TAB 10  S,EMANZEN DP TABLET
POVIZTRA 2.4MG INJ 3ML,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK
XILIA-2MG.TABS.,XILIA - 2 TABLETS
EMPRI M 12.5/500 TABS. 10S,EMPRI M 12.5/500 MG TABLET 10x10T
ASOMET XL TAB 10-S,ASOMET XL TABLET
CELOL-XT CAP1 110,CELOL XT CAPSULES
ZORDIL INJECTION 2 ML,ZORDIL INJECTION
EXHEP 60MG/0.6ML INJ,EXHEP 60 INJECTION
ATOREC-20-TAB.,ATOREC 20 MG TABLET
EMPETUS 100MG TAB 30 TAB,EMPETUS 100 MG TABLET 30s
VINGRAF 0.5MG/1X10 CAP,VINGRAF 0.5 CAPSULES
ENHEMO MF 10 TAI,ENHEMO MF TABLET 5x10T
ACEGABA NT 400 10S,ACEGABA-NT 400 TABLET 1x15T
TENECTASE INJ,TENECTASE
TEMSAN CT TABS 10 S,TEMSAN CT TABLETS
PAUSE MF TAB (10 1X10T,PAUSE MF TABLET
CETAPIN XR 500MG TAB 11X20,CETAPIN XR 500MG TABLET 11x20T
SEMI XILIA MP 1 10T,SEMI XILIA MP 1 TABLETS
LOMOH 60MG INJ PFS,LOMOH 60 MG INJECTION
DENMAB 60MG INJ 1 S,DENMAB INJECTION 60 MG/ML
Cardace Prote 2.5/10 10,CARDACE PROTECT 2.5 TABLET 10x10T
ASOMEX 15S,ASOMEX 1.25 TABLETS 1X15T
CARDACE 10MG 10S,CARDACE 10 MG TABLET 10x15T
METPURE-AM 5 10 T,METPURE AM 5 TABLETS
OROFER XT TAB 5 STP,OROFER XT TABLET
GLIPSOV M 20/1000 1 10,GLIPSOV-M TABLET 20/1000 10X15T
VICARE 1 CREAM 1*30 GM,VICARE I-CREAM 1x30GM
XILIA-M1 TAB 1X10 TAB,XILIA - M 1 TABLETS
DAPAGZA M 10/1000 10,DAPAGZA M10/1000 1X10T
EMSITA M 50/1000 TABS 10S,EMSITA M 50/1000 1X10T
METPURE AM2.5 10T,METPURE AM 2.5 TABLETS
EJALONG XL 4TAB,EJALONG - XL TABLETS 10X1X4 T
ATOREC 40 TABS 10 S,ATOREC 40 MG TABLET
PREPIXA 2.5 TAB --,PREPIXA 2.5 TABLET 1X10T
TEMSAN TRIO 40 MG 10 s,TEMSAN TRIO 40 TABLET 1X10T
CELOL D3  TABLET 15 TAB,CELOL - D 3 CAPSULES
OROFER XT TAB 15TAB PCS,OROFER XT TABLET 1x15T
UREADERM MOIST10% 100 GM,UREADERM MOISTURIZING CREAM 10% 100GM
CETAPIN V 0.2 1X15,CETAPIN V 0.2MG TABLET 10x15T
Epitril Beta 0.5 Tab 10S,EPITRIL BETA 0.5 TABLETS
OROFER XT TOTAL T1*10TAB --,OROFER XT TOTAL TABLET
LOMOH 60MG INJ 1 VAIL,LOMOH 60 MG INJECTION
PREGANZA NT TAB --,PREGANZA NT TABLET
M-Nem 500mg Inj. Vial,M-NEM 500 MG INJECTION
GALACT GRANULES CHOCOLATE 4400GM,GALACT GRANULES 400 GM CHOCOLATE
ATOREC 10mg 10s,ATOREC 10 MG TABLET
NUCARNIT 500MG. 10TAB.,NUCARNIT 500 TABLET
PARIDEM IV 40 MG,PARIDEM IV 40MG
CELOL XT PLUS TAB 1*10,CELOL XT + TABLETS
EMANZEN D OINT 30 GMS,EMANZEN D OINTMENT 30 GM
EMANZAN -D TAN 10,EMANZEN D TABLET
STABOSE -M- 0.2MG TAB 10S --,STABOSE M - 0.2 TABLETS
CONSIVAS F 10/160 1X10T,CONSIVAS-F10/160 TABLETS
EMANZEN 5 10,EMANZEN TABLET 5 MG
ACEGABA 100 TAB 1*10,ACEGABA 100 CAPSULE
VINGRAF 0.5 CAPSULES 610 10CAP,VINGRAF 0.5 CAPSULES
MOM B9 CAPSULE 10 C,MOMB9 CAPSULES
C-LET 500MG INJ 1 VIAL,C - LET 500 MG INJECTION
SANOXABAN 5 MG 10S,SANOXABAN 5 MG TABLET 10x10T
EMPRI L 10/5MG TAB 10 TAB,EMPRI L 10/5MG TABLET 10x10T
ESLICAR 400 TAB 5*10,ESLICAR  400 TABLETS
GALOP 10 TAB 10 S,GALOP 10 MG TABLETS
METPURE XL 50MG. 10 TA,METPURE XL 50 MG TABLET 10X10
TRIOLVANCE 20 TAB (10 Tab),TRIOLVANCE 20 TABLETS
JUSTINEX 30 6-S,JUSTINEX 30 TABLETS
EXAFIB - 10 MG TAB. 1 14,EXAFIB 10 TABLET
FERIUM-XT TABLETS 15TAB,FERIUM XT TABLET 10x15T
AMARYL M 2 MG TABS 15 S,AMARYL M 2MG TABLET 8x20T
FERIUM DROPS 15ml,FERIUM DROPS 15 ML
CARDACE AM-10 MG 15 TAB,CARDACE AM 10 TABLET 10x15T
AMARYL MV1 MG 15 S,AMARYL MV 1MG TABLET 10x15T
Fixate 200 Tab 4S,FIXATE - 200  4 T
Nusar R 2.5 10S,NUSAR R 2.5 TABLET
EOPTAL 600 TAB 10*10,EOPTAL 600 TABLETS 10X10 T
DILPRA 250 TAB 1x10,DILPRA 250 TABLETS
LIVIVE-150 TAB,LIVIVE - 150 TABLET
PEMCURE 500MG INJ VIAL,PEMCURE 500 MG INJ 1 VIAL
