Input_Column,Positive_Product,Positive_Brand,Positive_Rank_FT,Positive_Score_FT,Rank1_Product,Rank1_Brand,Rank1_Score_FT,Score_Delta,Baseline_Rank,Categories,Fixability,Correct_Strengths,Pred_Strengths,Correct_Forms,Pred_Forms
FULVIRA INJECTION 2X5ML PF 1X1,FULVIRA 250 MG INJ 2X5 ML PFS,FULVIRA,2,0.7629,FULVIRA INJECTION 1X5 ML PFS,FULVIRA,0.9274,0.1645,2,pack/sub-variant confusion,A,"[('250', 'MG'), ('5', 'ML')]","[('5', 'ML')]",INJ,INJECTION
OROFER S INJ.5ML,OROFER S 100 INJECTION,OROFER,2,0.7506,OROFER S INJECTION 2.5 ML,OROFER,0.7985,0.0479,3,pack/sub-variant confusion,A,[],"[('2.5', 'ML')]",INJECTION,INJECTION
AMARYL M F/TE 1MG,AMARYL M FORTE 1MG TABLET 10x15T,AMARYL,2,0.8095,AMARYL M 1MG TABLET 8x20T,AMARYL,0.8359,0.0264,5,pack/sub-variant confusion,A,"[('1', 'MG')]","[('1', 'MG')]",TABLET,TABLET
ASOMEX LT Tab 1X10s,ASOMEX LT 2.5 MG TABLET,ASOMEX,3,0.8336,ASOMEX LT TABLET 1X15T,ASOMEX,0.8664,0.0328,0,pack/sub-variant confusion,A,"[('2.5', 'MG')]",[],TABLET,TABLET
ROSUVAS-EZ 10 TAB 110S 27553 10S,ROSUVAS EZ 20 MG TABLET 1x10T,ROSUVAS EZ,3,0.7658,ROSUVAS EZ 40 TABLET 1x10T,ROSUVAS EZ,0.8240,0.0582,3,pack/sub-variant confusion,A,"[('20', 'MG')]",[],TABLET,TABLET
LAZID TAB60 60 Pcs,LAZID TABLETS,LAZID,3,0.6982,LAZID N TABLET 1x60 T,LAZID,0.8071,0.1089,5,pack/sub-variant confusion,A,[],[],TABLETS,TABLET
LAZID TAB 1X60 60,LAZID TABLETS,LAZID,3,0.7552,LAZID N TABLET 1x60 T,LAZID,0.8589,0.1037,5,pack/sub-variant confusion,A,[],[],TABLETS,TABLET
NUMLO-D 5MG. TAB. 15S,NUMLO-D 5 TABLET,NUMLO,3,0.8550,NUMLO-D 5 TABLET 1x15 T,NUMLO,0.9224,0.0674,8,pack/sub-variant confusion,A,[],[],TABLET,TABLET
VYLDA D / TAB S,VYLDA D100/5 TABLET 1X10T,VYLDA,3,0.7675,VYLDA TABLET,VYLDA,0.8011,0.0336,10,pack/sub-variant confusion,A,[],[],TABLET,TABLET
VYLDA OD TAB S,VYLDA OD 50 TABLET 1X15T,VYLDA,3,0.7389,VYLDA OD 100 TABLETS,VYLDA,0.8193,0.0804,3,pack/sub-variant confusion,A,[],[],TABLET,TABLETS
ASOMEX 2.5MG TAB. 15S(ASO25T) 15S,ASOMEX 1.25 TABLETS 1X15T,ASOMEX,3,0.8039,ASOMEX 2.5 MG TABLET 1X15T,ASOMEX,0.8559,0.0520,0,pack/sub-variant confusion,A,[],"[('2.5', 'MG')]",TABLETS,TABLET
PROXYM 300ER 15S,PROXYM ER TABLET 1X15T,PROXYM,3,0.6550,PROXYM ER 200 TABLETS 15 T,PROXYM,0.8043,0.1493,3,pack/sub-variant confusion,A,[],[],TABLET,TABLETS
ASOMEX AT TAB 5MG 10X15 115TAB,ASOMEX AT 2.5 MG TABLET 1X15T,ASOMEX,4,0.6992,ASOMEX AT 5 MG TABLET 1X15T,ASOMEX,0.8296,0.1304,2,strength/dosage confusion,A,"[('2.5', 'MG')]","[('5', 'MG')]",TABLET,TABLET
EMILDAP 10 TAB 15 S(EMI1T) 15 S,EMILDAP S 10/100 TABLET 1X10T,EMILDAP,4,0.6581,EMILDAP 10 TABLET 1X15T,EMILDAP,0.8606,0.2025,6,pack/sub-variant confusion,A,[],[],TABLET,TABLET
EMTOFA 2% OINTMENT,EMTOFA OINTMENT 15GM,EMTOFA,4,0.6993,EMTOFA OINTMENT 10 GM,EMTOFA,0.7561,0.0568,4,strength/dosage confusion; pack/sub-variant confusion,A,"[('15', 'GM')]","[('10', 'GM')]",OINTMENT,OINTMENT
VYLDA-DM100/10/5,VYLDA DM 100/10/500 TABLET 1x10T,VYLDA,4,0.8769,VYLDA DM 100/5/1000 TABLET 1x10T,VYLDA,0.9046,0.0277,4,very similar legitimate products,C,[],[],TABLET,TABLET
GALACT 200GM CHOCO GRANULES 200GM,GALACT GRANULES CHOCOLATE,GALACT,5,0.6845,GALACT GRANULE 200 GM ELAICHI,GALACT,0.8374,0.1529,7,product-family/sub-brand confusion; pack/sub-variant confusion,A,[],"[('200', 'GM')]",,
AMARYL.M.2MG.TAB 1*20,AMARYL 2MG TABLET 15x30T,AMARYL,5,0.7443,AMARYL M 2MG TABLET 8x20T,AMARYL,0.8959,0.1516,3,OCR/noise issue; pack/sub-variant confusion,A,"[('2', 'MG')]","[('2', 'MG')]",TABLET,TABLET
NUMLOM 5 TAB,NUMLO TABLET 2.5 MG,NUMLO,6,0.6237,NUMLO-TM 5 TABLETS,NUMLO,0.7395,0.1158,0,pack/sub-variant confusion,A,"[('2.5', 'MG')]",[],TABLET,TABLETS
OROFER CAP 15S,OROFER S INJECTION 2.5 ML,OROFER,7,0.6039,OROFER DROPS 15 ML,OROFER,0.7708,0.1669,5,strength/dosage confusion; dosage-form confusion,A,"[('2.5', 'ML')]","[('15', 'ML')]",INJECTION,DROPS
CELOL (10 TAB) 10TAB,FERIUM XT TABLET,FERIUM,8,0.3479,FERIUM CHEWABLE 100 MG TAB 10X10 T,FERIUM,0.4491,0.1012,4,pack/sub-variant confusion,A,[],"[('100', 'MG')]",TABLET,CHEWABLE; TAB
