Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,4,0.9017,ASOMEX AT 2.5 MG TABLET 1X15T,0.9163,True,106
XGRAST 300MCG INJ 1 PFS 1 PFS,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.9579,XGRAST 300 MCG INJ 1 PFS,0.9579,True,110
SNUMLO 5 Mg 20BOX 15*2tab,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.8604,S-NUMLO 2.5 MG TABLET 1x15 T,0.8623,True,114
"FERIUM XT.TAB. 15""S",FERIUM XT TABLET 10x15T,424441955,2,0.8341,FERIUM XT TABLET,0.8627,True,115
"S-NUMLO 2.5MG 15""S",S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9153,S-NUMLO 2.5 MG TABLET 1x15 T,0.9153,True,119
"EMLEVO -500 15""S",EMLEVO 500 TABLET 1 X 15 T,421113002,1,0.8053,EMLEVO 500 TABLET 1 X 15 T,0.8053,True,123
ASOMEX 2.5 MG 1X15AB Pcs,ASOMEX 2.5 MG TABLET 1X15T,424441736,3,0.8804,ASOMEX AT 2.5 MG TABLET 1X15T,0.9058,True,125
OSTERI INJ 600MG PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7890,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7890,True,128
CORDARONE 100X20X15 20 20,CORDARONE X 200 MG TABLET 10x15T,421112910,2,0.7973,CORDARONE 100 MG TABLET 20x15T,0.8366,True,138
CORDARONE TAB 200MG 15 S,CORDARONE X 200 MG TABLET 10x15T,421112910,1,0.8466,CORDARONE X 200 MG TABLET 10x15T,0.8466,True,139
GALOP PLUS 5X1X10 1*10,GALOP PLUS-5 TABLETS,421111957,3,0.7122,GALOP PLUS-10 TABLETS,0.7312,True,142
H)CARDACE 5MG 15S,CARDACE 5 MG TABLET 10x15T,421112893,1,0.8306,CARDACE 5 MG TABLET 10x15T,0.8306,True,152
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,153
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,154
ROSUVAS-EZ 10 TAB 110S 27553 10S,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,3,0.7859,ROSUVAS EZ-10 TABLETS,0.8143,True,158
MESALACURE TABLET 1.2GM NEW MRP Pcs.,MESALACURE TABLET  1.2GM,424440981,1,0.8871,MESALACURE TABLET  1.2GM,0.8871,True,169
OROFER XT 200M 200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8561,OROFER XT + SUSPENSION 200 ML,0.8561,True,172
PROXYM ER300 TAB,PROXYM ER 200 TABLETS,424441015,2,0.8195,PROXYM ER 200 TABLETS 15 T,0.8276,True,174
OSTERI INJ.600MCG PENNET30 1 UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8315,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8315,True,177
VYLDA OD 10 TAB,VYLDA OD 50 TABLET 1X15T,421112490,0,,VYLDA TABLET,0.8341,False,179
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.7023,LOBACOR 10 TABLET,0.7567,True,180
ROSUVAS EZ 20 TAB-10STAB,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,2,0.8430,ROSUVAS EZ-10 TABLETS,0.8460,True,181
FERIUM CHEWABLE TABLET10-10 T,FERIUM CHEWABLE TABLETS 10X10 T,420000222,2,0.9158,FERIUM 50 CHEWABLE TABLET 10,0.9579,True,183
AMARYL.M.2MG.TAB 1*20,AMARYL 2MG TABLET 15x30T,421113128,3,0.8109,AMARYL M 2MG TABLET 8x20T,0.8326,True,189
OROFER FCM INJEMCURE VIAL,OROFER FCM  INJECTION 500MG/10ML,421111114,3,0.8093,OROFER FCM  INJECTION 1K,0.8245,True,196
S NUMLO 5 4515,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.6972,S-NUMLO 5 MG TABLET,0.7190,True,210
DAONIL--M 10 15,DAONIL M TABLETS 1X15 T,421111961,1,0.8101,DAONIL M TABLETS 1X15 T,0.8101,True,217
OROFER XT  200ML SYP 1 1,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8528,OROFER XT + SUSPENSION 200 ML,0.8528,True,218
LASIX-40MG DPCO,LASIX 40 MG TABLET 80x15T,421112913,2,0.7780,LASIX 40 MG/4ML INJECTION,0.8416,True,219
NUMLO -AT TAB 10X15 15 TAB,NUMLO-AT TABLET 1X15 T,424441936,1,0.8722,NUMLO-AT TABLET 1X15 T,0.8722,True,228
S-NUMLO- 5 MG TAB 20X15 15 TAB,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.9070,S-NUMLO 2.5 MG TABLET 1x15 T,0.9097,True,230
TEMSAN - 20 TAB 10X15 15 TAB,TEMSAN 20 MG TABLETS 10x15T,424441698,4,0.8532,TEMSAN LN TABLET 10x15T,0.8952,True,231
TEMSAN - 80-H TAB 10X15 15 TAB,TEMSAN 80 H TABLETS 1X15T,424441192,2,0.8620,TEMSAN LN TABLET 10x15T,0.8902,True,234
ASOMEX - 2.5 MG TAB 20X15 15 TAB,ASOMEX 2.5 MG TABLET 1X15T,424441736,2,0.9018,ASOMEX AT 2.5 MG TABLET 1X15T,0.9207,True,237
ASOMEX - 5 MG TAB20X15 15 TAB,ASOMEX 5 MG TABLET 1x15T,424441737,4,0.8966,ASOMEX AT 5 MG TABLET 1X15T,0.9202,True,238
ASOMEX - D TAB10X15 15 TAB,ASOMEX D TABLET 1x15T,424440759,1,0.8385,ASOMEX D TABLET 1x15T,0.8385,True,239
ASOMEX -TM -5 TAB10X15 15 TAB,ASOMEX - TM 5 TABLETS 1X15T,421111383,1,0.8375,ASOMEX - TM 5 TABLETS 1X15T,0.8375,True,242
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,6,0.8155,EPITRIL MD 0.25 MG TABLET 10X10T,0.8662,True,247
FULVIRA INJ2X5ML 2X5ML,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,1,0.8812,FULVIRA 250 MG INJ 2X5 ML PFS,0.8812,True,248
OSTERI INJ NEEDLEFREE 1PCS,OSTERI INJECTION NEEDLES,421111705,1,0.8053,OSTERI INJECTION NEEDLES,0.8053,True,252
OROFER XT DROPSH.S 15ML PCS,OROFER XT DROPS,424441717,2,0.8258,OROFER DROPS 15 ML,0.8414,True,259
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,4,0.7834,OROFER XT TABLET 1X30 T,0.8089,True,260
OROFER FCM INJ 1K 10ML 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.8822,OROFER FCM  INJECTION 1K,0.8822,True,265
NUCORIL 5 TAB 1s,NUCORIL - 5 TABLETS 1X10 T,424441444,1,0.8130,NUCORIL - 5 TABLETS 1X10 T,0.8130,True,267
EMPRI L TAB 10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8172,EMPRI L 10/5MG TABLET 10x10T,0.8172,True,276
TEMSAN-80 H TAB 15*10,TEMSAN 80 H TABLETS 1X15T,424441192,2,0.8228,TEMSAN LN TABLET 10x15T,0.8265,True,278
ATOREC-10 TAB D 1X10TAB,ATOREC 10 MG TABLET,424441079,2,0.8116,ATOREC F 10/160 MG TABLET 10X10,0.8615,True,291
EMSITA M SR 100/1000 1X10TAB,EMSITA M SR 100/1000 1X10T,421112596,1,0.9600,EMSITA M SR 100/1000 1X10T,0.9600,True,292
OSTERI INJ 600 MC,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8657,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8657,True,293
MATERNA HMG HP 1200IU 1 VIAL,MATERNA HMG HP 1200 IU/4ML MD,421112530,1,0.8946,MATERNA HMG HP 1200 IU/4ML MD,0.8946,True,295
XGRAST INJ 300MCG 1 1 VIAL,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.8393,XGRAST 300 MCG INJ 1 PFS,0.8393,True,296
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8814,PROXYM ER 200 TABLETS 15 T,0.8814,True,300
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8814,PROXYM ER 200 TABLETS 15 T,0.8814,True,302
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.7023,LOBACOR 10 TABLET,0.7567,True,306
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.7023,LOBACOR 10 TABLET,0.7567,True,307
GALACT LACTATION GRANULES CHOCOLATE 400GM,GALACT GRANULES 400 GM CHOCOLATE,421112876,1,0.9285,GALACT GRANULES 400 GM CHOCOLATE,0.9285,True,308
VYLDA-DM100/1000/11X10TAB,VYLDA DM 100/5/1000 TABLET 1x10T,421112639,2,0.8746,VYLDA DM 100/10/1000 TABLET 1x10T,0.8774,True,311
PROXYM ER 300 TAB 1X15PRT 1X15,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8469,PROXYM ER TABLET 1X15T,0.9002,True,323
SYLATE T 500MG TAB. 1X10 EE179 1*10,SYLATE T 500 TABLET,421110143,5,0.7876,SYLATE TABLET 500 MG,0.8495,True,327
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,6,0.8155,EPITRIL MD 0.25 MG TABLET 10X10T,0.8662,True,331
NUMLO TM 5 TAB15NOS 15 NOS,NUMLO-TM 5 TABLETS 1X15 T,421112128,2,0.8193,NUMLO-AT TABLET 1X15 T,0.8233,True,333
COGNITRAC 60MG INJ 60MG 1X60MG,COGNITRAC L INJECTION,421112018,2,0.7720,COGNITRAC INJECTION 60 MG,0.8771,True,342
EPITRIL.25MG TAB 1X10,EPITRIL 0.25 MG TABLET,424441023,2,0.8970,EPITRIL MD 0.25 MG TABLET 10X10T,0.9171,True,347
EFNOCAR MX 40/25 T 10T,EFNOCAR-T 40/40  TABLET,427770323,3,0.7681,EFNOCAR-MX 40/25 TABLETS,0.7980,True,351
GALACT GRANULE ELAICHI,GALACT GRANULES 10GM ELAICHI,421112986,4,0.8824,GALACT GRANULE 200 GM ELAICHI,0.9130,True,352
POVIZTRA FLXT .25MG 1PC,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,420008825,1,0.9309,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.9309,True,360
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,4,0.6888,AMARYL 1MG TABLET 10x30T,0.6999,True,361
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,4,0.6888,AMARYL 1MG TABLET 10x30T,0.6999,True,362
TEMSAN H 40/12.5 15 S,TEMSAN H TABLETS 1X15 T,424441191,1,0.8147,TEMSAN H TABLETS 1X15 T,0.8147,True,373
XILIA-M2FORTE 10 S,XILIA - M 2 FORTE TABLETS,421110949,1,0.7678,XILIA - M 2 FORTE TABLETS,0.7678,True,374
TEMSAN 80MG TAB 10X15EMC030 10*15,TEMSAN 80 MG TABLETS 10x15T,424441700,1,0.9123,TEMSAN 80 MG TABLETS 10x15T,0.9123,True,378
S-NUMLO 5 20X15EMC082 20*15,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.7230,S-NUMLO 2.5 MG TABLET 1x15 T,0.7302,True,382
VYLDA 50 2X15EMC198 2 *15,VYLDA TABLETS 1X15 T,424441803,1,0.7942,VYLDA TABLETS 1X15 T,0.7942,True,393
TEMSAN CT 40/6.25 10*10S,TEMSAN CT-6.25 TABLETS,421111887,2,0.8114,TEMSAN CT 40/12.5 MG TABLET 10X10,0.8294,True,397
OSTERI INJ 600 PEN 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8181,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8181,True,400
OROFER CAP 15S,OROFER S INJECTION 2.5 ML,421111536,5,0.7024,OROFER DROPS 15 ML,0.7914,True,401
LAZID TAB60 60 Pcs,LAZID TABLETS,491110216,5,0.6867,LAZID 150/300 MG TABLET 60s,0.8581,True,403
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8776,GALACT GRANULES 400GM ELAICHI,0.8776,True,409
GALACT POW 400GM 1X400G,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8101,GALACT GRANULES 400GM ELAICHI,0.8101,True,412
FERIUM 1 K INJ.,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.8494,FERIUM INJECTION 1K (1GM/20ML),0.8494,True,415
TAPIC EM 4.5 GM INJECTION,TAPICEM 4.5 GM INJECTION,421112178,1,0.9304,TAPICEM 4.5 GM INJECTION,0.9304,True,420
CARDACE 1.255X2X15 10 S,CARDACE 1.25 MG TABLET 10x15T,421112890,1,0.8356,CARDACE 1.25 MG TABLET 10x15T,0.8356,True,421
CARDACE AM 55X2X15BOX 10 S,CARDACE AM 5 TABLET 10x15T,421112896,2,0.8113,CARDACE AM 2.5 TABLET 10x15T,0.8126,True,422
TEMSAN 20 MG TAB 10X15T,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9483,TEMSAN 20 MG TABLETS 10x15T,0.9483,True,423
CONSIUM 100 INJ UNSURE,CONSIUM 100(CARMUSTINE FOR INJ.),490310001,2,0.7907,DILUENT FOR CONSIUM 100 INJ,0.8612,True,427
ASOMEX-TM510X1515 S,ASOMEX - TM 5 TABLETS 1X15T,421111383,2,0.7601,ASOMEX - TM TABLETS 1X15T,0.7648,True,438
OROFER XT5X1515 S,OROFER XT TABLET 1x15T,424442006,1,0.8051,OROFER XT TABLET 1x15T,0.8051,True,441
PROXYM ER30010X1515 S,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8271,PROXYM ER TABLET 1X15T,0.8453,True,443
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,4,0.9017,ASOMEX AT 2.5 MG TABLET 1X15T,0.9163,True,461
SYLATE-T 500MG TAB 10 T,SYLATE T 500 TABLET,421110143,4,0.8311,SYLATE TABLET 500 MG,0.8840,True,463
OROFER XT BOX,OROFER XT TABLET,424441704,1,0.8343,OROFER XT TABLET,0.8343,True,466
TEMSAN-80 TAB 115(1015)BOX,TEMSAN 80 MG TABLETS 10x15T,424441700,0,,TEMSAN BS 5/40 TABLET 10x10T,0.7612,False,467
OROFER XT PLUSSYP 200ML.,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8818,OROFER XT + SUSPENSION 200 ML,0.8818,True,472
CISCURE VIAL. 1X1,CISCURE 0.25 MG INJECTION,421110589,1,0.7658,CISCURE 0.25 MG INJECTION,0.7658,True,479
A-BEC 300MG 30TAB,A-BEC TABLET 60T,424441967,3,0.7647,A BEC 300 MG TABLET 30s,0.8782,True,493
SYLATE- T 500MG TAB 1*10,SYLATE T 500 TABLET,421110143,5,0.8216,SYLATE TABLET 500 MG,0.8853,True,499
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,4,0.8564,VYLDA DM 100/5/1000 TABLET 1x10T,0.8614,True,502
LAZID TAB 1X60 60,LAZID TABLETS,491110216,5,0.7329,LAZID N TABLET 1x60 T,0.9297,True,505
SYLATE-T 500MG TAB 10 S 1s,SYLATE T 500 TABLET,421110143,4,0.8257,SYLATE TABLET 500 MG,0.8747,True,506
ASOMEX AT 2.5MG TAB 15 S 1s,ASOMEX AT 2.5 MG TABLET 1X15T,424441921,1,0.9206,ASOMEX AT 2.5 MG TABLET 1X15T,0.9206,True,509
TEMSAN 20MG TAB 15 S 1s,TEMSAN 20 MG TABLETS 10x15T,424441698,2,0.8548,TEMSAN 20 MG. TABLETS,0.8616,True,515
NUMLO-D 5MG. TAB. 15S,NUMLO-D 5 TABLET,424440017,8,0.7865,NUMLO TABLET 2.5 MG,0.8624,True,522
SYLATE T 500MG 1X10S T PCS,SYLATE T 500 TABLET,421110143,5,0.7995,SYLATE TABLET 500 MG,0.8613,True,533
S NUMLO 2.5 TAB 10X15,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.7846,S-NUMLO 2.5 MG TABLET 1x15 T,0.7846,True,536
S.NUMLO 2.5 TAB 1X1 1X15TAB,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.8041,S-NUMLO 2.5 MG TABLET 1x15 T,0.8041,True,547
DAPAGZA M 10/1000 \*10 TA,DAPAGZA M10/1000 1X10T,421112563,3,0.8701,DAPAGZA M 5/1000 1X10T,0.8883,True,551
TEMSAN CT 40/6.25 10,TEMSAN CT-6.25 TABLETS,421111887,1,0.8282,TEMSAN CT-6.25 TABLETS,0.8282,True,555
ASOMEX D 5 TAB 1515 S,ASOMEX D 5 TABLET 1x15T,424440760,4,0.8158,ASOMEX D 5 TABLET,0.8548,True,556
OSTERI 600MCJ INJ 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8781,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8781,True,561
TEMSANH 1*15,TEMSAN H TABLETS 1X15 T,424441191,1,0.7938,TEMSAN H TABLETS 1X15 T,0.7938,True,563
OSTERI INJ.600 MCG 2.4 ML PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8230,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8230,True,565
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,576
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,577
HOSIT FCM 750MG.INJ 15ML,HOSIT FCM INJECTION 750MG/15ML,421112708,1,0.9170,HOSIT FCM INJECTION 750MG/15ML,0.9170,True,587
FITJOINT TABS 10S,FITJOINT CAPSULES,421112131,2,0.7425,FITJOINT GM TABLETS,0.7980,True,592
ENCICARB INJ 1 K,ENCICARB INJECTION 1K,422220233,1,0.8902,ENCICARB INJECTION 1K,0.8902,True,595
PROXYM ER300MGTAB 1X15T,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8345,PROXYM ER TABLET 1X15T,0.8748,True,596
ACEGABA 100 MG 10X15,ACEGABA 100 CAPSULE 1 X 15 C,424442056,1,0.8548,ACEGABA 100 CAPSULE 1 X 15 C,0.8548,True,597
PROXYM ER 300 MG 1*15,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8163,PROXYM GEL 30 GM,0.8441,True,604
FERIUM 1K INJ 1VAIL,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.8429,FERIUM INJECTION 1K (1GM/20ML),0.8429,True,605
OROFER-S- INJ 10 ML 1*10ML,OROFER S 200 INJECTION 10 ML,421111388,1,0.8592,OROFER S 200 INJECTION 10 ML,0.8592,True,612
ASOMEX LT 2.5MG TAB 1X15TA,ASOMEX LT TABLET 1X15T,424440761,0,,ASOMEX AT 2.5 MG TABLET 1X15T,0.9334,False,613
FLAWLIZO MICRO0.04 PU 15GM,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,421113049,1,0.7765,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,0.7765,True,618
NUMLOM 5 TAB,NUMLO TABLET 2.5 MG,420000458,0,,NUMLO-TM 5 TABLETS,0.7947,False,622
OSTERI INJ.600MCG /2.4MLPEN 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8836,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8836,True,624
FLAWLIZO MICRO 0.04PUMP PACK 15GM,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,421113085,1,0.9009,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,0.9009,True,629
TEMSAN-20 10X15,TEMSAN 20 MG TABLETS 10x15T,424441698,2,0.8294,TEMSAN LN TABLET 10x15T,0.8400,True,636
OROFER FCM 1K INJ 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.8966,OROFER FCM  INJECTION 1K,0.8966,True,637
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8335,TEMSAN BS 2.5/40 TABLET 10x10T,0.8355,True,640
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8335,TEMSAN BS 2.5/40 TABLET 10x10T,0.8355,True,644
CONSIVAS F TAB. 10S STR,CONSIVAS-F TABLETS,421111971,2,0.7373,CONSIVAS-F10/160 TABLETS,0.7683,True,649
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,4,0.7834,OROFER XT TABLET 1X30 T,0.8089,True,650
VYLDA D / TAB S,VYLDA D100/5 TABLET 1X10T,421112572,10,0.7627,VYLDA TABLET,0.8621,True,656
VYLDA OD TAB S,VYLDA OD 50 TABLET 1X15T,421112490,3,0.7745,VYLDA TABLET,0.8428,True,657
EMILDAP 10 TAB 15 S(EMI1T) 15 S,EMILDAP S 10/100 TABLET 1X10T,421112866,6,0.7911,EMILDAP 10 TABLET 1X15T,0.8250,True,661
ASOMEX 2.5MG TAB. 15S(ASO25T) 15S,ASOMEX 1.25 TABLETS 1X15T,424440754,0,,ASOMEX AT 2.5 MG TABLET 1X15T,0.8999,False,667
OSTERI INJ 1UNIT(OSTI) 1UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,2,0.6915,OSTERI INJECTION 750 MCG PFS,0.7022,True,670
CARDACE 2.50X10 15S,CARDACE 2.5 MG TABLET 10x15T,421112892,3,0.8420,CARDACE H 2.5 TABLET 10x15T,0.8570,True,672
FULVIRA INJECTION 2X5ML PF 1X1,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,2,0.8888,FULVIRA INJECTION 1X5 ML PFS,0.9585,True,680
EMTOFA 2% OINTMENT,EMTOFA OINTMENT 15GM,421113091,4,0.8661,EMTOFA OINTMENT 20 GM,0.8847,True,681
OLANEX F TAB 10S/15S 10S/15S,OLANEX  F TABLETS 1 x 15 T,424442062,2,0.8456,OLANEX  F TABLETS,0.8460,True,683
PROXYM 300ER 15S,PROXYM ER TABLET 1X15T,424441862,3,0.7716,PROXYM ER 200 TABLETS 15 T,0.8193,True,687
CELOL (10 TAB) 10TAB,FERIUM XT TABLET,424441702,4,0.6777,FERIUM XT TABLET 10x15T,0.7252,True,697
EMPRI-L10+5 TABLETS- 1*10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8745,EMPRI L 10/5MG TABLET 10x10T,0.8745,True,703
EMPRI-L-25+5TABLETS-10 TAB 1*10 TAB,EMPRI L 25/5MG TABLET 10x10T,421113070,1,0.8149,EMPRI L 25/5MG TABLET 10x10T,0.8149,True,704
POVIZTRA-1.75 MG FLXT 3 ML1 PC COPACK 1 PC,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK,420008828,3,0.9357,POVIZTRA FLXT 0.5MG 1.5ML 1PC COPACK,0.9367,True,705
